node,sub_joint_id,brace_member,brace_end,chord_t_scenario,direction,treatment,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
22,"(22, 0)",72,2,single,,K,9.257915099824477e-07,4.3265547614551005e-07,4.318594266904803e-07,4.3319688345262747e-07,4.321225455973457e-07,4.350240571149796e-07,6.321028154072989e-07,6.287122352564288e-07,6.547790289814983e-07,6.342743817108809e-07,6.300585623245589e-07,6.472420617705335e-07,6.380301513097258e-07,5.654705305932602e-07,5.624063562039957e-07,5.832973863244353e-07,5.721141173043866e-07,5.615677173845144e-07,5.75679318883889e-07,5.670454124296305e-07,7.277951812749645e-07,7.262568667635899e-07,7.419969600943373e-07,7.335974426577122e-07,7.487814629738111e-07,7.316517896676458e-07,7.516928841628121e-07,7.403988059895657e-07,1.636122001811994e-06,1.630425889977846e-06,1.6555388086101217e-06,1.6395721759107172e-06,1.6569892534685653e-06,1.6527682727613562e-06,1.6338458502546312e-06,3.3043559951169094e-06,3.3189620899265832e-06,3.302556560154701e-06,3.3168763024276874e-06,3.3087438982659844e-06,3.3299810275255287e-06,3.298118113545672e-06,4.76758141500175e-06,4.795009990022976e-06,4.7776303793049835e-06,4.804432574603769e-06,4.799759822079407e-06,4.8295516024266275e-06,4.7884018220058e-06,4.812594017078758e-06,4.516030482411595e-06,4.495091188870544e-06,4.468758175497736e-06,4.509466492617287e-06,4.465045021961111e-06,4.481482866108959e-06,6.76917878050502e-06,6.732623402167703e-06,6.7410721822403395e-06,6.694263116047867e-06,6.706383795753149e-06,8.232722909847779e-06,8.23059582386634e-06,8.173477174512065e-06,8.177033402295573e-06,8.087322215018344e-06,8.021038467511215e-06,8.029807218680095e-06,1.0778758150103077e-05,LC_V24_H3p5_T8,1.0778758150103077e-05
22,"(22, 0)",72,2,single,,Y,1.3279708635413124e-06,3.7646833100498983e-07,3.7530645101076476e-07,3.758147897369297e-07,3.743179526480734e-07,3.763267141696976e-07,7.639294668957001e-07,7.60360000240726e-07,7.822649236837157e-07,7.629543158734526e-07,7.588659151520404e-07,7.722024806902189e-07,7.637651138932583e-07,1.1311190134444658e-06,1.127429221488401e-06,1.1412097031155022e-06,1.1291352112271866e-06,1.1168317089871956e-06,1.1234896889986256e-06,1.1138245967743811e-06,1.991086847604823e-06,1.9886535090024178e-06,2.0013353742598528e-06,1.991800469325838e-06,2.0024162134035357e-06,1.9837789063287516e-06,2.000047423564471e-06,1.9879135128787954e-06,5.663070924338082e-06,5.654649091836239e-06,5.644614424825507e-06,5.621959892515333e-06,5.6012151846006165e-06,5.553047552345493e-06,5.527863514295969e-06,8.450831178330016e-06,8.414720673813457e-06,8.393836064535468e-06,8.356967040392051e-06,8.293182522141357e-06,8.268342985258428e-06,8.228955293711279e-06,1.1394382855921887e-05,1.1360497658994775e-05,1.133800930074288e-05,1.130031099084474e-05,1.1223811898976215e-05,1.1195435671098853e-05,1.1142361630170078e-05,1.1109573183715902e-05,1.3086335704222202e-05,1.2927660042580028e-05,1.2769996625273532e-05,1.27496305773852e-05,1.2676355409138904e-05,1.2600503307260589e-05,2.0928392081498128e-05,2.0690476589624194e-05,2.055282141438156e-05,2.0329234239728516e-05,2.0218293952416016e-05,2.6125730151955507e-05,2.5894914840300956e-05,2.5569694884537076e-05,2.5377711862856945e-05,2.6318460835604334e-05,2.6003173322734215e-05,2.5816981356891174e-05,3.415048444058858e-05,LC_V24_H3p5_T8,3.415048444058858e-05
22,"(22, 1)",80,2,single,,K,1.13670764067665e-06,7.867311703832958e-08,7.66144064836382e-08,8.763124069723141e-08,8.289453252408415e-08,9.924715201409156e-08,8.695732453580054e-08,8.633253208654887e-08,1.0529367301919679e-07,9.133960670688322e-08,8.852636184149377e-08,1.1708462099599052e-07,1.0415438535790279e-07,2.778922772079256e-07,2.7650978721147713e-07,2.8673682083563743e-07,2.824159743189945e-07,2.7656542520812327e-07,2.86610132293923e-07,2.8149685705793965e-07,4.126630210277e-07,4.113696517394589e-07,4.2255284467932913e-07,4.177881398360824e-07,4.307122849388398e-07,4.183072583570269e-07,4.385563511156338e-07,4.285431360640857e-07,2.661906544860295e-06,2.6572305322901418e-06,2.659881775048663e-06,2.6466354881000056e-06,2.645734197850505e-06,2.6243157531306733e-06,2.6021170427643967e-06,3.878334344927808e-06,3.874149233233186e-06,3.853100995934402e-06,3.849104549224099e-06,3.820794756656069e-06,3.825941764718063e-06,3.7869278993948827e-06,5.785127694416363e-06,5.7787400195108446e-06,5.749230405361621e-06,5.7407671685102125e-06,5.69483356199768e-06,5.692710825863087e-06,5.645712287846605e-06,5.637168702853134e-06,6.596568432346745e-06,6.537244429569408e-06,6.474904773322374e-06,6.450459081436196e-06,6.400047311937144e-06,6.379987893582993e-06,1.0301503567429089e-05,1.0218128559770127e-05,1.0217564473956047e-05,1.0120528684696329e-05,1.0124656926268945e-05,1.237749922684972e-05,1.2377206227462672e-05,1.2227643218129458e-05,1.2210152604371705e-05,1.1479299162974947e-05,1.1368113175029592e-05,1.137189571992912e-05,1.4973774722102014e-05,LC_V24_H3p5_T8,1.4973774722102014e-05
22,"(22, 1)",80,2,single,,Y,1.8312755179802693e-06,2.111243596312122e-07,2.057538430087039e-07,2.293162782467901e-07,2.179871224790518e-07,2.5322060745596574e-07,4.686744647507432e-07,4.66637849870549e-07,5.179649269911898e-07,4.748445093191839e-07,4.660608436771948e-07,5.388269886111176e-07,5.045756627829467e-07,1.6395823282941978e-06,1.6370274919146612e-06,1.6311401847722076e-06,1.6224394344187085e-06,1.6127430150856561e-06,1.6030202024280023e-06,1.595068448578106e-06,2.3469954928588434e-06,2.3434207994995284e-06,2.3520838316743015e-06,2.3403833120221682e-06,2.343843067489721e-06,2.321072298216472e-06,2.3397460792602506e-06,2.316816987215063e-06,1.8622795751009013e-05,1.859299926032572e-05,1.8483186817053224e-05,1.8412297904373187e-05,1.824417860719116e-05,1.7966251755060464e-05,1.788231643459641e-05,2.4606865663603162e-05,2.4435118355412824e-05,2.4334761888920793e-05,2.412011645285489e-05,2.3801927223227345e-05,2.3587256703178462e-05,2.347059801088264e-05,3.281392264315211e-05,3.253271516000912e-05,3.244779563035719e-05,3.213583656568768e-05,3.171219172942059e-05,3.140351462335348e-05,3.128288951341068e-05,3.0959955483021404e-05,3.586130482075025e-05,3.533667456213059e-05,3.480479147717386e-05,3.440833065181617e-05,3.4250861174995544e-05,3.386344216444692e-05,5.776371574531939e-05,5.698114931133578e-05,5.646700821859812e-05,5.5665544146411154e-05,5.515957769547303e-05,6.582111246606687e-05,6.523711735505308e-05,6.417760587209923e-05,6.355056718880115e-05,6.001635574865697e-05,5.917623013921851e-05,5.868468957135046e-05,7.118520875432057e-05,LC_V24_H3p5_T8,7.118520875432057e-05
22,"(22, 0)",85,1,single,,K,9.183553379030315e-07,3.86203397640565e-07,3.8527122372517826e-07,3.858412049273251e-07,3.8485642112716543e-07,3.8669243889507166e-07,5.575467502396477e-07,5.540883606700593e-07,5.780406382841125e-07,5.579436688791084e-07,5.542836599521042e-07,5.680328645521603e-07,5.60050074141506e-07,4.902139094141856e-07,4.866582429471289e-07,5.081139193076667e-07,4.953862891227037e-07,4.849800569060125e-07,4.966165312982719e-07,4.887660881372679e-07,6.544304562291432e-07,6.528180067036508e-07,6.661990264992432e-07,6.571356531872206e-07,6.686271343732038e-07,6.530558699909635e-07,6.673263913818997e-07,6.575841023901154e-07,1.4718267574525788e-06,1.4660092045985755e-06,1.491315181996227e-06,1.4735128694818209e-06,1.4888448135198884e-06,1.4804924203530735e-06,1.4626134609093615e-06,3.1302321886445734e-06,3.1404172336163657e-06,3.123907386512025e-06,3.132235611284373e-06,3.1182360702201306e-06,3.129674460167845e-06,3.101124910741248e-06,4.505403737168547e-06,4.523637711330699e-06,4.504322600010077e-06,4.519977851950478e-06,4.508145230421824e-06,4.523581635758432e-06,4.492741444492716e-06,4.502004385283075e-06,4.4894356535433e-06,4.460125690519088e-06,4.423293761888653e-06,4.417276317317212e-06,4.382197202072077e-06,4.373850221341781e-06,6.447997205122485e-06,6.403003371567813e-06,6.402469495146432e-06,6.353507846038664e-06,6.353873520099107e-06,7.988432986932846e-06,7.979907288347188e-06,7.893532213243666e-06,7.87894290875803e-06,7.629760570590167e-06,7.554676101660765e-06,7.551581364254394e-06,1.0264962819596242e-05,LC_V24_H3p5_T8,1.0264962819596242e-05
22,"(22, 0)",85,1,single,,Y,1.7463419043674982e-06,5.398829286916459e-07,5.382537249324656e-07,5.382793362399492e-07,5.36599736730385e-07,5.383298886962697e-07,9.6111562781213e-07,9.554776571827691e-07,9.903693215833769e-07,9.591507109001836e-07,9.533894320294686e-07,9.722784098529962e-07,9.59934936848393e-07,1.157009789924779e-06,1.1500871182017153e-06,1.1827761133413854e-06,1.160452304437767e-06,1.1406808793940727e-06,1.1562645479000935e-06,1.1416764187995477e-06,1.943619765343655e-06,1.940841685596264e-06,1.9572552423564555e-06,1.9426485246207804e-06,1.9550941619466208e-06,1.9302597287563144e-06,1.946717016133165e-06,1.931348363480322e-06,5.223159751275906e-06,5.21061583770504e-06,5.233840878324675e-06,5.197614385226805e-06,5.198981255049882e-06,5.153388229019488e-06,5.1188407515932705e-06,8.745554359402341e-06,8.72308444151434e-06,8.694141183496633e-06,8.668916888422162e-06,8.604374264959118e-06,8.586688488341586e-06,8.534306476460206e-06,1.208484901137716e-05,1.2088054577486914e-05,1.2040088632950271e-05,1.2033628337108143e-05,1.1959394836529315e-05,1.1949288257929647e-05,1.1879106626779757e-05,1.1856741506563688e-05,1.357458424798224e-05,1.3433855182083099e-05,1.3281725585262865e-05,1.3192018594001852e-05,1.31085864531901e-05,1.3029801951817794e-05,2.0851381269364148e-05,2.06277330191328e-05,2.05270998238205e-05,2.0308777811201365e-05,2.0221624469068058e-05,2.6406312858319513e-05,2.6230333072151722e-05,2.5879567566672833e-05,2.5710353150000995e-05,2.5666582139337543e-05,2.535421858331601e-05,2.520705739551154e-05,3.382610853974675e-05,LC_V24_H3p5_T8,3.382610853974675e-05
22,"(22, 1)",93,1,single,,K,8.498358478886275e-07,9.295030772759454e-08,9.127067313306931e-08,9.51921615831573e-08,9.275267159347628e-08,9.857671980573949e-08,1.2508083270319135e-07,1.2288081055123536e-07,1.4004906875724658e-07,1.277507576217021e-07,1.2480396818914897e-07,1.3841151570368056e-07,1.3196275331863935e-07,3.192494197857906e-07,3.1587556123066077e-07,3.383379076104137e-07,3.2685359979479364e-07,3.1528961081277986e-07,3.3218294634167996e-07,3.225769114451202e-07,3.855663797102809e-07,3.8310664213344807e-07,4.051448489634452e-07,3.9469905331839716e-07,4.170118198565178e-07,3.934239550024073e-07,4.241303976661771e-07,4.0771077165743154e-07,2.8683638744473198e-06,2.859132249762869e-06,2.8871590434293926e-06,2.857410079907625e-06,2.8750495850427643e-06,2.8464994745592935e-06,2.804071119381394e-06,4.096685700847333e-06,4.120536053671166e-06,4.081648389139274e-06,4.102042460896442e-06,4.070085633449505e-06,4.09798850220508e-06,4.024759636587032e-06,6.024891802965675e-06,6.052690154182812e-06,6.002855827269927e-06,6.021302499411855e-06,5.969118395319155e-06,5.990925337668183e-06,5.90637715324877e-06,5.913701010826617e-06,6.520585340842039e-06,6.4599440641725105e-06,6.384639737099332e-06,6.376023888468109e-06,6.296120988890417e-06,6.281791156208146e-06,1.0112472376170016e-05,1.0000581750613188e-05,1.000713151252917e-05,9.872017984113057e-06,9.881906888768357e-06,1.206048294070045e-05,1.2062046148516121e-05,1.1876326362926645e-05,1.1862949553632117e-05,1.0958100947588424e-05,1.082255364332774e-05,1.0850328271253111e-05,1.4188739736462656e-05,LC_V24_H3p5_T8,1.4188739736462656e-05
22,"(22, 1)",93,1,single,,Y,1.5640301696682677e-06,2.4841621932168145e-07,2.451731225849355e-07,2.48582441951381e-07,2.4462412463905286e-07,2.508586248432808e-07,5.118178768031099e-07,5.066208727945507e-07,5.381728526718635e-07,5.116787839176797e-07,5.060287515797837e-07,5.261746837218921e-07,5.146480267757886e-07,1.5272371903842228e-06,1.5197445818656978e-06,1.5506034630959212e-06,1.525818653354946e-06,1.501959008962514e-06,1.5173038403553498e-06,1.4985275506905725e-06,1.9543086126710233e-06,1.9480639514422052e-06,1.985321648663769e-06,1.9613644070017383e-06,1.992597746699262e-06,1.945128557913978e-06,1.991364060264455e-06,1.9597855187612607e-06,1.6065417556864498e-05,1.6030747057372866e-05,1.599930252496371e-05,1.5903767717505904e-05,1.5812430956282352e-05,1.557484630824013e-05,1.5458777096309674e-05,2.140249285428112e-05,2.1325040112625257e-05,2.1199795790056124e-05,2.1082656232917523e-05,2.0816282758625455e-05,2.0700555894661576e-05,2.0521392142642853e-05,2.8991804062832284e-05,2.8859446684412785e-05,2.8718487629579187e-05,2.8542838249604954e-05,2.8180196708133565e-05,2.799960837759105e-05,2.7801119984673374e-05,2.7587101583387605e-05,3.116615600698649e-05,3.072570451535214e-05,3.0250240100407296e-05,3.0008248547319856e-05,2.9788732528005366e-05,2.9494902939105632e-05,4.968591069364962e-05,4.898473512807597e-05,4.8627054225573285e-05,4.788497785244783e-05,4.753555127782376e-05,5.7217201455169425e-05,5.679594624099599e-05,5.580068909163458e-05,5.532611706162507e-05,5.1334430686577155e-05,5.058683054514672e-05,5.024171171902115e-05,6.206837494629777e-05,LC_V24_H3p5_T8,6.206837494629777e-05
26,"(26, 1)",76,2,single,,K,8.904272615421913e-07,4.2640318428041276e-07,4.2678771811138235e-07,4.266810721463408e-07,4.265446481489745e-07,4.2831032136792914e-07,6.615867675545701e-07,6.578517829003975e-07,6.887477995249855e-07,6.640419351599255e-07,6.594290953820564e-07,6.794731114006894e-07,6.684835936694582e-07,5.883285011554094e-07,5.838002481184124e-07,6.16341155709938e-07,5.99086947157003e-07,5.840812429903937e-07,6.053139817242201e-07,5.929403194537491e-07,7.327188897769773e-07,7.291083714384774e-07,7.580692696547388e-07,7.432302913977935e-07,7.685868755254976e-07,7.395673438730457e-07,7.726286344371346e-07,7.536980869748613e-07,1.7904875903940507e-06,1.7815754856500257e-06,1.8249881817429918e-06,1.7980827774055582e-06,1.8304238394482162e-06,1.8252049219585398e-06,1.7942344386912984e-06,3.35395332097402e-06,3.3811221797218823e-06,3.3566136911651574e-06,3.379776947807215e-06,3.368189115897027e-06,3.400389068264873e-06,3.352224061939363e-06,4.765955706851919e-06,4.7954608310244775e-06,4.774767246389276e-06,4.806018829941913e-06,4.801338115105614e-06,4.841654943566722e-06,4.787174730416489e-06,4.818611827684433e-06,4.544288722441038e-06,4.532333500370284e-06,4.507787867710649e-06,4.523205587968092e-06,4.463792102801595e-06,4.48071568121654e-06,6.809092229197647e-06,6.758465098139928e-06,6.7719367155857426e-06,6.706102953671837e-06,6.71639611545955e-06,8.300335149981783e-06,8.297555525508387e-06,8.206740145880319e-06,8.206297398234624e-06,7.97718241339268e-06,7.909886776642816e-06,7.915461232312104e-06,1.0673544358451154e-05,LC_V24_H3p5_T8,1.0673544358451154e-05
26,"(26, 1)",76,2,single,,Y,1.3031616036467482e-06,3.7883739413576963e-07,3.788983235790009e-07,3.7776087907254575e-07,3.7735998936474197e-07,3.778079111327953e-07,7.514934919828553e-07,7.484058061545868e-07,7.711302009469058e-07,7.503887130355556e-07,7.463807166224697e-07,7.601171484847032e-07,7.508469115273964e-07,1.1254093226168314e-06,1.1197752479576018e-06,1.146612414659892e-06,1.1283485775125439e-06,1.1106386599988684e-06,1.1256883547633967e-06,1.1118042269865738e-06,1.8634678625951445e-06,1.8600040584128516e-06,1.884797677417639e-06,1.869296021061316e-06,1.8903208602161785e-06,1.8601658661087445e-06,1.8885017850403993e-06,1.8689712703263616e-06,5.993586125675441e-06,5.979207182276481e-06,5.9957068482851955e-06,5.955924525627798e-06,5.9505847547655e-06,5.894021747762024e-06,5.853196896062334e-06,8.630068671526892e-06,8.611747982813358e-06,8.578945692233209e-06,8.557623766960807e-06,8.488112315549159e-06,8.475839325536787e-06,8.408686583121225e-06,1.1378165848405523e-05,1.1359721512904086e-05,1.13256274369313e-05,1.1301239551019447e-05,1.122785767039956e-05,1.1218585649643783e-05,1.1142946730606882e-05,1.1121653500322918e-05,1.29311180505757e-05,1.2786313689688241e-05,1.2633204589634531e-05,1.2551394581858866e-05,1.2450654896752631e-05,1.2380091095660697e-05,2.099859499003366e-05,2.070100720229691e-05,2.0562385314721062e-05,2.026343469319104e-05,2.0134371457573157e-05,2.6400857464294407e-05,2.616386437791557e-05,2.5736585319045997e-05,2.5522096934977285e-05,2.6041592607248375e-05,2.5713626469152317e-05,2.5534174155224435e-05,3.418897905717602e-05,LC_V24_H3p5_T8,3.418897905717602e-05
