member_id,member_class,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
18,leg,8.37083788605518e-08,2.3424382261906632e-08,2.3278284376325217e-08,2.3475288729732426e-08,2.332308108787965e-08,2.363085773337651e-08,2.5501937401122807e-08,2.532455765840726e-08,2.6690648833074444e-08,2.562649226055901e-08,2.5418154246761942e-08,2.6304871119658612e-08,2.5836590996018247e-08,1.881244933753521e-08,1.8605147859009914e-08,1.9928823394557568e-08,1.9235306868489895e-08,1.8635128858454206e-08,1.9453205496064e-08,1.8994258969505177e-08,1.6155823364463397e-08,1.6073496795523653e-08,1.6748023174916082e-08,1.6377672900854805e-08,1.7039264359012323e-08,1.627503993278918e-08,1.7148471005969667e-08,1.6617930820457723e-08,4.2099049676653194e-08,4.1896492443125635e-08,4.298296178083537e-08,4.2256421988079553e-08,4.317123207568177e-08,4.307739823335572e-08,4.221908334713135e-08,1.1799270086737638e-07,1.1909604548965872e-07,1.1798826699183639e-07,1.1891539065195401e-07,1.1852654763485093e-07,1.1948490728532542e-07,1.1796578852231308e-07,1.9575698196418905e-07,1.97780265553969e-07,1.9628176529059803e-07,1.980699814598005e-07,1.9765377703645743e-07,1.9916365275923965e-07,1.9701675044532687e-07,1.9804592447551888e-07,1.7067769436729886e-07,1.6987385570415872e-07,1.6862559968855847e-07,1.6941504858159792e-07,1.6713086938832765e-07,1.675630530553072e-07,2.335102154202225e-07,2.3164276862574703e-07,2.331624700554985e-07,2.3071361752139224e-07,2.31897013498259e-07,2.927748513784188e-07,2.950612680063938e-07,2.9129585968309897e-07,2.9233071377906704e-07,2.569596974900738e-07,2.5375555588391635e-07,2.555699301201987e-07,3.7801240497360844e-07,LC_V24_H3p5_T8,3.7801240497360844e-07
19,leg,6.378773849862157e-08,1.8478355833971463e-08,1.8356134149394472e-08,1.8497397533208274e-08,1.8375285281637633e-08,1.8592561063102292e-08,1.8438386128674194e-08,1.8311761207300774e-08,1.929801360110559e-08,1.8542147892358854e-08,1.8390382599089993e-08,1.9039179253449023e-08,1.87032061040714e-08,1.2036055476777385e-08,1.1888147746565308e-08,1.2886034509805834e-08,1.234842232183131e-08,1.1921020753095626e-08,1.2489492694047208e-08,1.2168771563157714e-08,1.1204144622818309e-08,1.1140883792400758e-08,1.1691742056852675e-08,1.1402357254613442e-08,1.1912029514229436e-08,1.1345466102442801e-08,1.2002538868490543e-08,1.1637449834406683e-08,2.232040619064462e-08,2.2162407221250287e-08,2.3139208499924367e-08,2.258442136370547e-08,2.327360464617221e-08,2.3210093359230856e-08,2.2668494750437757e-08,8.10342066809574e-08,8.215383242178654e-08,8.134167889196728e-08,8.227049427637019e-08,8.212744582047513e-08,8.292676900095456e-08,8.182210082891688e-08,1.3991674881594587e-07,1.4144398778920856e-07,1.403480214161141e-07,1.415839594876487e-07,1.4123469018497658e-07,1.421794243993126e-07,1.407832518228871e-07,1.413043734787492e-07,1.1431643758944321e-07,1.1407965021723041e-07,1.1347290317032409e-07,1.1428788106874874e-07,1.1290697459554273e-07,1.1317334057346152e-07,1.5031091912805312e-07,1.4962522474699773e-07,1.510819135275362e-07,1.4975883113797972e-07,1.5082139547663494e-07,1.937945710654248e-07,1.960376404331502e-07,1.9423314579243708e-07,1.9540255627708687e-07,1.7683339417509302e-07,1.753250538401831e-07,1.7684294740103303e-07,2.6255674483012515e-07,LC_V24_H3p5_T8,2.6255674483012515e-07
22,leg,6.411407908009241e-08,2.1634681032620826e-08,2.1708629543533118e-08,2.1597365247054962e-08,2.1662688623672076e-08,2.160858416016629e-08,3.40330781118953e-08,3.3880972173103883e-08,3.5113460694689915e-08,3.411492048269135e-08,3.3937688209788954e-08,3.4700121909249114e-08,3.428275403780977e-08,2.720875251759381e-08,2.7054582531276497e-08,2.8192429759548198e-08,2.7565596200666847e-08,2.7067314030675587e-08,2.776441410227473e-08,2.7362486067248556e-08,2.6795281697487718e-08,2.6682891404681048e-08,2.7566472465943658e-08,2.7077258756225044e-08,2.7809133893553026e-08,2.6947644846331104e-08,2.7857488628195175e-08,2.7307341856723958e-08,5.5449396418906725e-08,5.5263010943075386e-08,5.615696686215251e-08,5.551116629560369e-08,5.616615375671439e-08,5.597160563213213e-08,5.5244220569940934e-08,1.3710952908642113e-07,1.3824035284244894e-07,1.3714181986199767e-07,1.3802092452691112e-07,1.3755593526433568e-07,1.384963722800737e-07,1.3694798816274759e-07,2.1327585327756275e-07,2.1459133933249593e-07,2.133641308146959e-07,2.14349175081965e-07,2.1343571075265877e-07,2.142775129335941e-07,2.1234041106016358e-07,2.1270954754512222e-07,2.1734328569136882e-07,2.1607383471087165e-07,2.1452291925539573e-07,2.1504914980615828e-07,2.1348378579352902e-07,2.1317145976474726e-07,2.9870555746589764e-07,2.974307656008104e-07,2.9819757474333605e-07,2.9634464797173053e-07,2.970187877168065e-07,3.853473574066633e-07,3.85909726079455e-07,3.8341513435763923e-07,3.835228989814628e-07,3.643618664143925e-07,3.619646391551684e-07,3.6298062748695303e-07,5.502078242136652e-07,LC_V24_H3p5_T8,5.502078242136652e-07
23,leg,4.947170436535103e-08,1.7162744602390407e-08,1.7204196727493993e-08,1.7121285434282004e-08,1.716451629305323e-08,1.7115288582050168e-08,2.541816341953332e-08,2.5301370393374993e-08,2.6264619012191525e-08,2.546758885997574e-08,2.5337949564917807e-08,2.5885942820676983e-08,2.557389657691136e-08,1.8925961222503003e-08,1.8782923391595917e-08,1.97720860745922e-08,1.9225025404804096e-08,1.881150660355552e-08,1.9366912329446228e-08,1.9050643687639947e-08,1.941438775519843e-08,1.9326616187023652e-08,2.0003277697261038e-08,1.9612267427769637e-08,2.0146306357253244e-08,1.9490382152626957e-08,2.0133955661900853e-08,1.9735787114523537e-08,3.3263149956718264e-08,3.3117146472238416e-08,3.4089749639470255e-08,3.353591375598915e-08,3.4248704723367457e-08,3.4205553459681957e-08,3.363862115871303e-08,9.144691843850004e-08,9.265314917129036e-08,9.18265328112872e-08,9.281411129403835e-08,9.267660685650085e-08,9.3598217859554e-08,9.234892594360149e-08,1.4829346018329668e-07,1.493362678138502e-07,1.485035336233576e-07,1.4937625154684816e-07,1.4901094040598057e-07,1.4978190202395888e-07,1.485730210581428e-07,1.489884326255317e-07,1.4390831527267364e-07,1.4355937826912205e-07,1.4300010649660757e-07,1.4341358574807488e-07,1.4238755488239545e-07,1.424758380938662e-07,1.8509110311602493e-07,1.8450266217369153e-07,1.8549680964156775e-07,1.8449688235842113e-07,1.853276063792995e-07,2.3591900176068105e-07,2.3677308490761082e-07,2.357030823065932e-07,2.3632286923919344e-07,2.2417130331655333e-07,2.2318258098416955e-07,2.2422092045004616e-07,3.4872873470614017e-07,LC_V24_H3p5_T8,3.4872873470614017e-07
26,leg,8.409132814034971e-08,2.3445578457396347e-08,2.3295952667680808e-08,2.3494189549570566e-08,2.3337290959989915e-08,2.3651270297551376e-08,2.5546445111333566e-08,2.5351051652801277e-08,2.6879303816974623e-08,2.5680277569403232e-08,2.545330242369915e-08,2.6419961061363777e-08,2.5908896620985186e-08,1.8872306525089833e-08,1.8651317243659633e-08,2.009689137500457e-08,1.934317378269862e-08,1.870179226762301e-08,1.9587476223157776e-08,1.9101702075650196e-08,1.6002036468952732e-08,1.591056032332256e-08,1.6732770439861686e-08,1.6268079917923466e-08,1.7074002846732405e-08,1.614547288714466e-08,1.716951722049471e-08,1.6557059697955353e-08,4.17001146192772e-08,4.145809614328314e-08,4.275311825864727e-08,4.192509525076175e-08,4.290410689846607e-08,4.272538872745811e-08,4.177337716290185e-08,1.1593576033430621e-07,1.1710188151028422e-07,1.1603680157303693e-07,1.170534858686074e-07,1.1677974519382311e-07,1.1786085908964718e-07,1.1635771554598144e-07,1.92884594524197e-07,1.9495294697553224e-07,1.933623832887714e-07,1.9516408887701377e-07,1.9451457087863683e-07,1.960166448423981e-07,1.9360317525532232e-07,1.9453052766651634e-07,1.6907890754890407e-07,1.6844438408510872e-07,1.6726401737562194e-07,1.68186821814672e-07,1.6571959808831293e-07,1.661839129303848e-07,2.324244857200983e-07,2.304326389327409e-07,2.320477899288753e-07,2.2914715454746218e-07,2.3022663793386515e-07,2.927123230724136e-07,2.952253702350184e-07,2.913411022192811e-07,2.9246373060921245e-07,2.5721678440047803e-07,2.541267127573716e-07,2.55845095785085e-07,3.7754858829575643e-07,LC_V24_H3p5_T8,3.7754858829575643e-07
27,leg,6.399613740659786e-08,1.862948320342992e-08,1.8506926338682578e-08,1.8649707677340095e-08,1.8526840138679725e-08,1.8746360344865987e-08,1.8824096037498835e-08,1.8680390669016388e-08,1.9815140304806458e-08,1.8931991406193552e-08,1.876588998273191e-08,1.9488345338226522e-08,1.9109029307016434e-08,1.2271026199002686e-08,1.2118928623265452e-08,1.3172272464430543e-08,1.2604940708688009e-08,1.2156421790326796e-08,1.2759979966147326e-08,1.2420149855371868e-08,1.1457328474816334e-08,1.139353387929564e-08,1.2023237567533542e-08,1.1685362286577828e-08,1.225902321135855e-08,1.1621594903304965e-08,1.2338782904445992e-08,1.1924470694154155e-08,2.208594530332135e-08,2.1916517132416054e-08,2.2950400634876362e-08,2.2391431946145176e-08,2.3108700565977336e-08,2.306452937049761e-08,2.2511324277357914e-08,7.945634966628955e-08,8.065630863489618e-08,7.979629733966253e-08,8.078712419872152e-08,8.064423945933924e-08,8.150556558838645e-08,8.031657958546932e-08,1.3747674050143037e-07,1.3903880938799715e-07,1.3795381960639173e-07,1.3922434715741744e-07,1.3890225576132915e-07,1.3992569787808993e-07,1.3845721630111889e-07,1.3904506656369679e-07,1.1116101934874098e-07,1.1096811865908528e-07,1.1040401603733853e-07,1.1123090778100932e-07,1.098675881512973e-07,1.1017457424906461e-07,1.4537749159144912e-07,1.4470019223359062e-07,1.4614340323175853e-07,1.4484567806034326e-07,1.4592469280508086e-07,1.886293331960055e-07,1.9093284897815996e-07,1.8913216901635433e-07,1.9034648150712238e-07,1.7168846976886547e-07,1.7021472079064912e-07,1.7183626969298598e-07,2.5615424557690574e-07,LC_V24_H3p5_T8,2.5615424557690574e-07
30,leg,6.367975842422979e-08,2.166450032747423e-08,2.1732219547957127e-08,2.1628814306900007e-08,2.1692440378488124e-08,2.1644195889540182e-08,3.392584469602876e-08,3.3790085752571864e-08,3.4921494408970824e-08,3.401715784682935e-08,3.385586135906856e-08,3.457069050128197e-08,3.4187302774507754e-08,2.712348776940712e-08,2.6988585868985597e-08,2.7986635012998317e-08,2.742498663947823e-08,2.697325623537747e-08,2.758136819391362e-08,2.721626045904802e-08,2.6856549173716593e-08,2.6750630851365554e-08,2.755671902506339e-08,2.712695862322778e-08,2.7809118403705497e-08,2.708008240175327e-08,2.7931012367669875e-08,2.746119504797031e-08,5.5739249334208883e-08,5.559088193144386e-08,5.636489473613055e-08,5.5809118037534066e-08,5.643253066755773e-08,5.6363822865174835e-08,5.571975626760776e-08,1.391872798727604e-07,1.4038697573054235e-07,1.3937105848525844e-07,1.403227289316134e-07,1.3987344703292897e-07,1.4090610605713324e-07,1.3926243335982066e-07,2.1581067437984754e-07,2.1691934904574865e-07,2.157918576036594e-07,2.166763709731709e-07,2.158539105688408e-07,2.1672314161389653e-07,2.1494745501409802e-07,2.1542229795360174e-07,2.1873141458559466e-07,2.1740828606383912e-07,2.1585067644216796e-07,2.1617590657785108e-07,2.147963728042166e-07,2.1434756383431568e-07,2.9898103174153534e-07,2.975932005377437e-07,2.9831889094793367e-07,2.9654760228355013e-07,2.97324531446424e-07,3.8504553200183903e-07,3.8538685768588034e-07,3.8292441782548546e-07,3.830627105794377e-07,3.6416838100170123e-07,3.6170834372506295e-07,3.62878881567586e-07,5.488083166114865e-07,LC_V24_H3p5_T8,5.488083166114865e-07
31,leg,4.94554878052929e-08,1.7357650194844762e-08,1.7399944357788532e-08,1.7316455309759552e-08,1.7361412362919943e-08,1.7311810212450146e-08,2.543738056150291e-08,2.5324645018688302e-08,2.6249401108820362e-08,2.548456874478028e-08,2.5360489605954014e-08,2.5889102433440752e-08,2.55888647257123e-08,1.897071704803747e-08,1.883346763067839e-08,1.9788016197179304e-08,1.9259460807764015e-08,1.8859399052011875e-08,1.939770554900483e-08,1.9087707709283272e-08,1.9697376782391342e-08,1.9613684573240368e-08,2.026193864257175e-08,1.9889971615636634e-08,2.039302057264178e-08,1.978022216433762e-08,2.0376068612029508e-08,2.0005383685289252e-08,3.3562557314568795e-08,3.341571717086481e-08,3.4420736320244486e-08,3.385473268026622e-08,3.458173984073987e-08,3.453842475656592e-08,3.3971444752623664e-08,9.310953491008688e-08,9.420727811090105e-08,9.34010374340232e-08,9.42911463649323e-08,9.411512887558485e-08,9.490196772686437e-08,9.377875440583151e-08,1.505444594975892e-07,1.5161564244772266e-07,1.5077058625360844e-07,1.51656602401337e-07,1.5128105243833245e-07,1.520233150764551e-07,1.5081750969520135e-07,1.512061020882938e-07,1.462488557867091e-07,1.4592133914791957e-07,1.4536192671718142e-07,1.4582157731386961e-07,1.4472728413947077e-07,1.4483078445490902e-07,1.8782885416769834e-07,1.8732032685062326e-07,1.8823049805453152e-07,1.8735098882137998e-07,1.8811137635272707e-07,2.391854347008619e-07,2.399782401963136e-07,2.3899283126952466e-07,2.3959417467829413e-07,2.2776988230768562e-07,2.267736705572945e-07,2.277482181254984e-07,3.5426715469709367e-07,LC_V24_H3p5_T8,3.5426715469709367e-07
69,brace,1.8462475269601157e-08,1.0334637543569915e-09,1.0213934685452837e-09,1.0676965460893807e-09,1.037476659571102e-09,1.4633307284274158e-09,1.866894230812569e-09,1.8534275614516256e-09,2.0178961239043793e-09,1.8746002955216994e-09,1.849971393304848e-09,2.8359277746422157e-09,2.4068089279977298e-09,2.80353295731278e-09,2.776753092281396e-09,3.4494260778470396e-09,3.2996936939573548e-09,2.8825692736900185e-09,4.727870837490491e-09,4.1533756090563975e-09,4.88436919628715e-09,4.828079583750639e-09,5.685927546610626e-09,5.448730867013429e-09,7.867227609040058e-09,6.4285912031358785e-09,1.0209282734020476e-08,8.882136980999296e-09,1.545947406764604e-08,1.5389258269749632e-08,1.7446610529071852e-08,1.7120410376163506e-08,2.0505440074948392e-08,2.3667227759469575e-08,2.1681917168145128e-08,2.182598123949394e-08,2.20504324491599e-08,2.184549762671446e-08,2.4079481775365908e-08,2.7233218615238136e-08,3.347377342941283e-08,3.012025622482932e-08,2.9510477288550724e-08,2.985166753411989e-08,2.9560278092447913e-08,3.012597637948146e-08,3.145942507006653e-08,3.803696567003766e-08,3.443585709824782e-08,4.147855982338837e-08,3.586158223315925e-08,3.5739899298440345e-08,3.712620570294708e-08,4.3510860928722313e-08,3.961546669536092e-08,4.656660413873589e-08,5.677208447996452e-08,5.6715242988978596e-08,6.326130226241806e-08,6.678702565486412e-08,7.700368476236164e-08,7.392730617962023e-08,7.729357578577789e-08,8.04969790659452e-08,9.088306224427813e-08,7.5089899076332e-08,7.880376992750955e-08,8.9208470246298e-08,1.0913749436686664e-07,LC_V24_H3p5_T8,1.0913749436686664e-07
70,brace,1.281273923894684e-08,2.5352615375002577e-09,2.5337390140888658e-09,2.543923917985275e-09,2.5304701868939232e-09,2.5875061433971965e-09,4.500316874615291e-09,4.479478565426613e-09,4.622194558165635e-09,4.499524303901857e-09,4.475486862864277e-09,4.565499284157116e-09,4.508658249696975e-09,4.722162053922865e-09,4.699858972026867e-09,4.867975165765866e-09,4.7674174659682325e-09,4.672199496165957e-09,4.824889206232263e-09,4.7312026708021485e-09,7.19353084749482e-09,7.1722619105148515e-09,7.460798291118017e-09,7.3691993079128324e-09,7.935380122676032e-09,7.4271661412342505e-09,9.000985491784167e-09,7.968578958931644e-09,1.8932905859411134e-08,1.8892695121862092e-08,1.927280166608647e-08,1.912955788361943e-08,1.9934132925538592e-08,2.0806521879772923e-08,1.988064933911123e-08,3.038573538975725e-08,3.0633966635794356e-08,3.0451344662489253e-08,3.09656508501118e-08,3.1209700126404e-08,3.236601256992392e-08,3.1436566931747875e-08,4.0515008598260904e-08,4.079346175137394e-08,4.068569005690075e-08,4.118988632740187e-08,4.155322926858079e-08,4.266563047661184e-08,4.180071574946278e-08,4.2987165864102834e-08,4.4161263680310336e-08,4.41773019328831e-08,4.416926998650159e-08,4.470066614483072e-08,4.3831587243472496e-08,4.4767128070820624e-08,6.847130540559539e-08,6.840206053741399e-08,6.940176762325906e-08,6.944621347754564e-08,7.179761604106184e-08,8.637757184254509e-08,8.709760108116272e-08,8.671419452169169e-08,8.879130976653921e-08,8.39215869033371e-08,8.364067903245657e-08,8.548690403371346e-08,1.1192043237560705e-07,LC_V24_H3p5_T8,1.1192043237560705e-07
