member_id,member_class,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
18,leg,5.3202689558211064e-08,1.4887721017847692e-08,1.4794878081280933e-08,1.4920148297485417e-08,1.4823416391087956e-08,1.5019138195099982e-08,1.6210591671960654e-08,1.6097894606878287e-08,1.696612359811468e-08,1.6289885560094586e-08,1.615747681976398e-08,1.6721221482009574e-08,1.642355217868683e-08,1.195810929670378e-08,1.182637662334244e-08,1.2667600195045266e-08,1.2226887330803868e-08,1.1845496703615485e-08,1.2365504693693744e-08,1.207383311614397e-08,1.0269457163506379e-08,1.021714743337686e-08,1.06459556102013e-08,1.0410617708545094e-08,1.0831518326240484e-08,1.0345507496007216e-08,1.090119759168049e-08,1.0563854885787917e-08,2.6764738352180055e-08,2.6636061135284285e-08,2.7326557311272007e-08,2.686481600250379e-08,2.7446320714790603e-08,2.7386957331296064e-08,2.6841522745518424e-08,7.500309142553735e-08,7.570422462617417e-08,7.50000529855023e-08,7.558965324414645e-08,7.534294086453591e-08,7.59525765601412e-08,7.498697727040922e-08,1.2442813254129326e-07,1.2571388587892352e-07,1.2476197464864804e-07,1.2589868760684557e-07,1.256348907302068e-07,1.265951212525292e-07,1.2523093990447656e-07,1.2588598100966992e-07,1.0849137934100527e-07,1.0798082398509668e-07,1.0718788016998552e-07,1.0768964159132519e-07,1.0623784478939037e-07,1.0651327522081122e-07,1.4843470657177721e-07,1.4724817645899966e-07,1.4821464018430907e-07,1.4665949378461483e-07,1.474123936916365e-07,1.8610529216974385e-07,1.8755917168261014e-07,1.8516647351006193e-07,1.85824927092529e-07,1.6333202293011377e-07,1.612956287187213e-07,1.6244953945471727e-07,2.4027221966738205e-07,LC_V24_H3p5_T8,2.4027221966738205e-07
19,leg,4.0564838886833895e-08,1.1750989540589679e-08,1.1673256066999125e-08,1.1763093525697515e-08,1.168543336712548e-08,1.1823608595191367e-08,1.1726939184706673e-08,1.1646457903344722e-08,1.2273559168878297e-08,1.17930503110133e-08,1.1696523332265363e-08,1.2109247863057004e-08,1.1895568193827627e-08,7.65519006142188e-09,7.561144487848993e-09,8.1958077149913e-09,7.853850595440528e-09,7.582030983673794e-09,7.943563974275712e-09,7.73956941311679e-09,7.1266222417993226e-09,7.086385110588728e-09,7.436859100728867e-09,7.252792430582686e-09,7.577193610986278e-09,7.216800441527841e-09,7.635008974273693e-09,7.402716763014139e-09,1.420107538395693e-08,1.4100556473145782e-08,1.472163021799014e-08,1.4368553843988297e-08,1.4806982238454999e-08,1.476653528707653e-08,1.4421874216477414e-08,5.1546674276578955e-08,5.225863363115783e-08,5.174215914152188e-08,5.233274292900344e-08,5.224162598571046e-08,5.275099950375608e-08,5.20470841565786e-08,8.89984278522155e-08,8.996978511919656e-08,8.927244970742054e-08,9.005822918984414e-08,8.98361987582012e-08,9.043621566599156e-08,8.954863403889938e-08,8.987942901078024e-08,7.27245509347904e-08,7.257363990216494e-08,7.21872925252547e-08,7.270567374672872e-08,7.18273161264991e-08,7.199637423246718e-08,9.562816532232682e-08,9.519136596090251e-08,9.611738024268877e-08,9.527534266555462e-08,9.595073829271362e-08,1.2329070179300213e-07,1.2471829005052952e-07,1.2356821881389142e-07,1.2431168667994589e-07,1.1249950488945688e-07,1.1153964209776686e-07,1.1250470369614822e-07,1.6702420140076142e-07,LC_V24_H3p5_T8,1.6702420140076142e-07
22,leg,4.074845130162857e-08,1.3750146817552316e-08,1.3797162277278692e-08,1.3726491214343535e-08,1.376800903363419e-08,1.3733698002218092e-08,2.163056107222704e-08,2.1533878045151187e-08,2.231736076759147e-08,2.1682671836428535e-08,2.1569999739947303e-08,2.205479144446219e-08,2.178948015504874e-08,1.7294201421636865e-08,1.7196218152011574e-08,1.791951088118358e-08,1.75211021035969e-08,1.7204406874496568e-08,1.7647640484770715e-08,1.739215625376966e-08,1.703032748083796e-08,1.6958894295360818e-08,1.752061245653678e-08,1.7209644494007322e-08,1.767498252295932e-08,1.7127362194489106e-08,1.7705911248735514e-08,1.7356209490674514e-08,3.524837616414526e-08,3.5129924703673084e-08,3.569824941318692e-08,3.528767246779622e-08,3.570420408735458e-08,3.5580675305313726e-08,3.5118450406965074e-08,8.715428952779245e-08,8.787296860202013e-08,8.717476277615198e-08,8.773358415434888e-08,8.743830143383607e-08,8.803642922408717e-08,8.70522838662462e-08,1.3556493287614076e-07,1.364010472169196e-07,1.3562104274419255e-07,1.3624726680066734e-07,1.3566680468301166e-07,1.3620228668477743e-07,1.3497090055665455e-07,1.3520586693955818e-07,1.3815281898365312e-07,1.3734604368261323e-07,1.3636016047171713e-07,1.366955558579699e-07,1.35700527240862e-07,1.3550242260698216e-07,1.8987638971200261e-07,1.890666053254673e-07,1.8955454930592377e-07,1.8837724679418297e-07,1.8880660373418785e-07,2.449482805363072e-07,2.4530616687954343e-07,2.437211308536776e-07,2.4379025209124043e-07,2.3160704940435935e-07,2.3008366867031008e-07,2.3073031739474696e-07,3.497330142062707e-07,LC_V24_H3p5_T8,3.497330142062707e-07
23,leg,3.146092999243783e-08,1.0914426476506879e-08,1.0940774650708323e-08,1.0888059556814093e-08,1.091553537032881e-08,1.0884247432108545e-08,1.6164328871475867e-08,1.609005032134378e-08,1.670268981558488e-08,1.6195749686317866e-08,1.6113301469927477e-08,1.6461812001379643e-08,1.6263348385826505e-08,1.2036743887821282e-08,1.1945740830289893e-08,1.2574908090513683e-08,1.2226925950971538e-08,1.1963908811932038e-08,1.2317142626814354e-08,1.2115972405198645e-08,1.2346747105762448e-08,1.2290917269781548e-08,1.2721275508896477e-08,1.2472667192285082e-08,1.2812312048240104e-08,1.2395101174414083e-08,1.2804489005589212e-08,1.2551185141509229e-08,2.1157746055846932e-08,2.1064898516106288e-08,2.1683839122995384e-08,2.133118398663667e-08,2.178485701114675e-08,2.1757351648327813e-08,2.139670843662324e-08,5.8169674109730974e-08,5.893686767246592e-08,5.841106036423654e-08,5.903917162892322e-08,5.895157620447702e-08,5.95375153294481e-08,5.874292293746704e-08,9.433004041530393e-08,9.49926449870928e-08,9.446328552602073e-08,9.501771159231862e-08,9.478506730015758e-08,9.52754502895047e-08,9.4506406202181e-08,9.477034598491771e-08,9.154089726285322e-08,9.131853712600372e-08,9.096252678426423e-08,9.122515189250055e-08,9.057257585689538e-08,9.062834936350425e-08,1.1774632656178873e-07,1.1737139682573746e-07,1.1800399666425406e-07,1.1736726243842863e-07,1.1789536255526706e-07,1.500683624579227e-07,1.5061128775931022e-07,1.4993008396409248e-07,1.5032393233094007e-07,1.425911889162614e-07,1.419616972816101e-07,1.4262188211437424e-07,2.2181117436726607e-07,LC_V24_H3p5_T8,2.2181117436726607e-07
26,leg,5.34462774068828e-08,1.490119830618162e-08,1.4806111048651456e-08,1.4932161374954205e-08,1.4832442678786586e-08,1.503212410976671e-08,1.6238866629243235e-08,1.611467512754743e-08,1.70862408914318e-08,1.632407013729982e-08,1.6179757619558244e-08,1.679446060409107e-08,1.64695405174683e-08,1.1996244240099728e-08,1.1855803012803244e-08,1.2774716920105655e-08,1.2295637301346786e-08,1.1887967302292898e-08,1.2451103212780554e-08,1.2142321481291478e-08,1.0171622596291373e-08,1.0113475162809606e-08,1.063647180553866e-08,1.034096741874623e-08,1.085375482216705e-08,1.026313620226292e-08,1.0914905611278262e-08,1.0525154104374594e-08,2.651120910361634e-08,2.635734650938813e-08,2.718056349867755e-08,2.665422154461989e-08,2.72767491468095e-08,2.7163398981751328e-08,2.6558139731545044e-08,7.369556222410971e-08,7.443710810641598e-08,7.375994592453926e-08,7.440647403949413e-08,7.423296346380726e-08,7.492118241219888e-08,7.39656361793566e-08,1.2260226357310946e-07,1.2391725686226568e-07,1.2290629884050584e-07,1.2405225043612169e-07,1.236397353451485e-07,1.245950109681245e-07,1.2306094756862578e-07,1.2365089938477422e-07,1.0747598900203426e-07,1.070728561859444e-07,1.0632317500532508e-07,1.0690967618595864e-07,1.0534137957542654e-07,1.0563695423610456e-07,1.47746189696346e-07,1.4648019346355584e-07,1.4750751933918368e-07,1.4566392343864195e-07,1.4635059685509345e-07,1.8606751102655297e-07,1.8766537901441198e-07,1.8519631947652658e-07,1.8591069140549446e-07,1.6349819471063988e-07,1.615346832892173e-07,1.6262741754638056e-07,2.399780535476767e-07,LC_V24_H3p5_T8,2.399780535476767e-07
27,leg,4.069708927995516e-08,1.1847362497144167e-08,1.1769426616775982e-08,1.1860211149103293e-08,1.1782078759017445e-08,1.1921666754145081e-08,1.1972750243862938e-08,1.1881383020098944e-08,1.260313383206963e-08,1.2041480306720848e-08,1.1935817677705623e-08,1.2395492429694261e-08,1.215417888382933e-08,7.804993558899912e-09,7.708274879735415e-09,8.378128451132294e-09,8.01730711563842e-09,7.73210747020568e-09,8.115888092288134e-09,7.899779178258608e-09,7.2881252573858525e-09,7.247598653849554e-09,7.648267217490927e-09,7.43341973428086e-09,7.798507377164484e-09,7.392962737919462e-09,7.849512714398992e-09,7.585819307449188e-09,1.4050703813136106e-08,1.3942457953364783e-08,1.4600556793432234e-08,1.4244949201004882e-08,1.4701212272421589e-08,1.4673063700240985e-08,1.432109240510944e-08,5.0542939789838545e-08,5.130620139659047e-08,5.075924550300623e-08,5.138929249480397e-08,5.1298282126981116e-08,5.1846219910480685e-08,5.108976151764549e-08,8.744669889786697e-08,8.8439746251695e-08,8.775003092131834e-08,8.855745249694943e-08,8.835232547739835e-08,8.900263743202317e-08,8.80689046323423e-08,8.844223602097872e-08,7.071035245826851e-08,7.058737737106633e-08,7.022821213116554e-08,7.075440764919724e-08,6.988722838700576e-08,7.008232238026093e-08,9.247896102759977e-08,9.204750967258233e-08,9.296494981492681e-08,9.213925279267914e-08,9.28251650304061e-08,1.199904714624256e-07,1.2145505147810716e-07,1.2030923681099474e-07,1.210808660355646e-07,1.0921132563097776e-07,1.082732854792623e-07,1.0930458213000319e-07,1.6293279735472284e-07,LC_V24_H3p5_T8,1.6293279735472284e-07
30,leg,4.04722277764639e-08,1.3769195853771963e-08,1.381224979687044e-08,1.3746568609844929e-08,1.3787012842060105e-08,1.375643248107815e-08,2.156238847070163e-08,2.1476121829428935e-08,2.2195179172562818e-08,2.1620514986236803e-08,2.1518013963681916e-08,2.197245607357564e-08,2.1728789496740468e-08,1.7239926383123048e-08,1.7154213939056487e-08,1.7788441999414524e-08,1.7431588840860775e-08,1.7144530645930807e-08,1.753107614775064e-08,1.7299070844941898e-08,1.7069143061397095e-08,1.7001838301473128e-08,1.7514145370438187e-08,1.7241085423898687e-08,1.767475673995814e-08,1.7211544228478157e-08,1.7752551625018332e-08,1.745400186140448e-08,3.5432078619197556e-08,3.5337821442387495e-08,3.582969937029075e-08,3.5476568658456006e-08,3.587289252340474e-08,3.5829568465783985e-08,3.5420307410662316e-08,8.847428823925927e-08,8.923686250756624e-08,8.859112523772289e-08,8.919616134338168e-08,8.891075777304617e-08,8.956733144734561e-08,8.852290578900763e-08,1.371755045243053e-07,1.3788014022885765e-07,1.3716364675511665e-07,1.3772590203234995e-07,1.3720330430460316e-07,1.377565481244756e-07,1.366277076795252e-07,1.3693032015037055e-07,1.3903472923437947e-07,1.3819341852546608e-07,1.372032854216576e-07,1.374106368490959e-07,1.365339706836489e-07,1.362489874656046e-07,1.9005102502045862e-07,1.8916935520277758e-07,1.8963061072862814e-07,1.8850538444471887e-07,1.8900030084382676e-07,2.4475515234194404e-07,2.4497254573478506e-07,2.4340809330751293e-07,2.434966577391312e-07,2.314844578348038e-07,2.2992085472920872e-07,2.3066591333802053e-07,3.4884095795815734e-07,LC_V24_H3p5_T8,3.4884095795815734e-07
31,leg,3.145092769378058e-08,1.1038754236464097e-08,1.1065642286804284e-08,1.101255197580577e-08,1.1041131601637788e-08,1.1009604845247923e-08,1.6176810582976238e-08,1.610509486933529e-08,1.6693248964114128e-08,1.6206804304375305e-08,1.6127882784791655e-08,1.6464075837023174e-08,1.627313545429131e-08,1.2065389347110566e-08,1.1978098395230728e-08,1.2585243306322118e-08,1.2249023952596342e-08,1.1994558013705993e-08,1.2336935764932231e-08,1.2139737176061723e-08,1.2526977080688257e-08,1.2473778709318815e-08,1.2886166903539877e-08,1.2649524149092077e-08,1.2969503025749916e-08,1.257972137944264e-08,1.2958711827885907e-08,1.2722914541825471e-08,2.1348224460767787e-08,2.125476857925434e-08,2.1894117800373305e-08,2.1534112573371192e-08,2.1996560349822712e-08,2.1968866959988626e-08,2.1608093018566655e-08,5.9226903880829764e-08,5.992534810904118e-08,5.9412245422879205e-08,5.997841451535991e-08,5.986627039178478e-08,6.036641503023414e-08,5.965210961851235e-08,9.576021132664607e-08,9.644139469334682e-08,9.590364265457058e-08,9.646697875829599e-08,9.62278797415225e-08,9.670001777848583e-08,9.593309763217266e-08,9.61797476306816e-08,9.3030202191537e-08,9.282159653608469e-08,9.246544757781065e-08,9.275771972556762e-08,9.206138065409521e-08,9.212714261219646e-08,1.1948231306409886e-07,1.1915823840929491e-07,1.1973693936564403e-07,1.1917702154930888e-07,1.1966022704345234e-07,1.521452430714039e-07,1.5264865831169262e-07,1.5202163431112243e-07,1.5240376689299e-07,1.4488151669882826e-07,1.4424707818525696e-07,1.448664493747673e-07,2.2533570197241211e-07,LC_V24_H3p5_T8,2.2533570197241211e-07
69,brace,1.2396413072500126e-08,6.939518535464549e-10,6.858466527787476e-10,7.169351856174681e-10,6.966435294093211e-10,9.825567769669598e-10,1.2537438669465597e-09,1.2447005879123142e-09,1.3551439603488169e-09,1.2589182185917533e-09,1.2423779435734611e-09,1.904368507625804e-09,1.6162515141089452e-09,1.8830286124326576e-09,1.8650406108408225e-09,2.316734041555085e-09,2.216193119058486e-09,1.9361126994600987e-09,3.1751307841159127e-09,2.7893965748829705e-09,3.280974242006379e-09,3.2431690781086827e-09,3.81922504442421e-09,3.6598460596183944e-09,5.283761525355066e-09,4.3177888028499555e-09,6.856314704393729e-09,5.965224842758667e-09,1.0384709673247606e-08,1.033754297430658e-08,1.1718999329507672e-08,1.1499961244673794e-08,1.3772852125627448e-08,1.5895803152617433e-08,1.4562724241679523e-08,1.4660511992489021e-08,1.481125506511356e-08,1.4673594973722731e-08,1.617355119975433e-08,1.82911271001967e-08,2.2481331001729907e-08,2.022960405290109e-08,1.982180581040404e-08,2.0050978914714597e-08,1.985523220948701e-08,2.02351866777233e-08,2.1130015022656513e-08,2.5546483080249398e-08,2.3128499629748807e-08,2.7857309036079228e-08,2.408844063871804e-08,2.4006634723245733e-08,2.4936881323106857e-08,2.9223842357988817e-08,2.660818128332494e-08,3.12755166545996e-08,3.8134888761450294e-08,3.8096588015966864e-08,4.249073059741125e-08,4.485788421867754e-08,5.171784872926307e-08,4.9658240896294674e-08,5.191694750136983e-08,5.4067563742177535e-08,6.104110726266161e-08,5.0436866873795285e-08,5.2930339315481925e-08,5.991647815077043e-08,7.330349998748523e-08,LC_V24_H3p5_T8,7.330349998748523e-08
70,brace,8.603147697740634e-09,1.7022055025174362e-09,1.7011827639336564e-09,1.7080201584522995e-09,1.698987333195793e-09,1.737280817515303e-09,3.0218303896652747e-09,3.007838859416031e-09,3.1036578721355382e-09,3.0212945962435568e-09,3.0051544644925967e-09,3.0655895689206343e-09,3.0274226653873336e-09,3.171210047524702e-09,3.1562318277098227e-09,3.2691315109147015e-09,3.2016087411279996e-09,3.1376527469515473e-09,3.2402077200501665e-09,3.1772810200535045e-09,4.8314079884777005e-09,4.817116067681756e-09,5.010871428004825e-09,4.949367459781227e-09,5.329538710338466e-09,4.9882932950726346e-09,6.045034929675891e-09,5.35183462523624e-09,1.2716809462047661e-08,1.2689814475179579e-08,1.2945043206177881e-08,1.284882157733688e-08,1.3389170113589783e-08,1.3974929480332797e-08,1.3353197833480839e-08,2.04075474865653e-08,2.0574319480131023e-08,2.0451603996424746e-08,2.079702496112226e-08,2.0960820263338064e-08,2.173736777844657e-08,2.1113138073900468e-08,2.7210092591945888e-08,2.7397092602885196e-08,2.732471233036403e-08,2.7663296706541283e-08,2.7907284764694715e-08,2.865421295558197e-08,2.8073413776259727e-08,2.887014112373087e-08,2.9660468799793916e-08,2.967125630485654e-08,2.9665723008858836e-08,3.0022615321253395e-08,2.9438799093840135e-08,3.0067199910412665e-08,4.5989223208410945e-08,4.5942507658145495e-08,4.66136410543217e-08,4.664335671959165e-08,4.8222402003324885e-08,5.8016385025271064e-08,5.849967640813673e-08,5.824228207350893e-08,5.963678275778675e-08,5.636698250888511e-08,5.617824534339989e-08,5.7417784424712546e-08,7.517223511067117e-08,LC_V24_H3p5_T8,7.517223511067117e-08
