member_id,member_class,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
18,leg,7.141330753778357e-08,1.9983743052856682e-08,1.9859109672527227e-08,2.002720494926213e-08,1.9897356179253255e-08,2.015997536760991e-08,2.1757239724902096e-08,2.1605931973832654e-08,2.2771362822787362e-08,2.1863557878988e-08,2.1685823696049195e-08,2.2442376386813948e-08,2.2042858322202352e-08,1.604992942002962e-08,1.587308636293244e-08,1.7002310420795892e-08,1.64106872809613e-08,1.5898692803095624e-08,1.6596638060379824e-08,1.6205111208644667e-08,1.3783428947680298e-08,1.3713201022656404e-08,1.4288697450135937e-08,1.3972764913981331e-08,1.4537366525663746e-08,1.3885260767754942e-08,1.4630654364847469e-08,1.4177974300692648e-08,3.591903414211307e-08,3.574625730907747e-08,3.667313124504132e-08,3.60533171468993e-08,3.683379541496161e-08,3.675386590641136e-08,3.602165982904425e-08,1.0066655659053679e-07,1.0160778659794295e-07,1.0066267443554183e-07,1.014537770697819e-07,1.0112223980768139e-07,1.0194007128475072e-07,1.0064404150892181e-07,1.6700894913875716e-07,1.6873496742812004e-07,1.6745678791801797e-07,1.6898243002070423e-07,1.6862768498227307e-07,1.6991605858792054e-07,1.680846405514629e-07,1.6896306572148316e-07,1.4561461998071504e-07,1.449290016934948e-07,1.4386427434479144e-07,1.445377733682339e-07,1.425890778421076e-07,1.4295811615469948e-07,1.9922223773178077e-07,1.9762924436094788e-07,1.989259948095841e-07,1.968374010999747e-07,1.9784732566264804e-07,2.497837287433196e-07,2.517346346357675e-07,2.485224991518357e-07,2.494056822822703e-07,2.1922454031912067e-07,2.1649104777653785e-07,2.1803926708481328e-07,3.2249817147356036e-07,LC_V24_H3p5_T8,3.2249817147356036e-07
19,leg,5.4428996760487676e-08,1.5767250540948978e-08,1.56629570965961e-08,1.5783496156600777e-08,1.567929774942357e-08,1.586469612348886e-08,1.5733758682905133e-08,1.562573111955712e-08,1.6467242314657267e-08,1.5822352857932194e-08,1.5692848000542106e-08,1.624651368610405e-08,1.5959823696179978e-08,1.0270630714874502e-08,1.0144429797469821e-08,1.099594192567419e-08,1.0537174759025418e-08,1.0172471493063518e-08,1.065754860655797e-08,1.0383866406764576e-08,9.560987335574386e-09,9.506995061050607e-09,9.977115703565444e-09,9.730172569783257e-09,1.016519408297994e-08,9.681712066201515e-09,1.0242539286246165e-08,9.930957693396312e-09,1.90486513076912e-08,1.8913816308520684e-08,1.9747255042807497e-08,1.9273745128413824e-08,1.9861881985484782e-08,1.9807662485900334e-08,1.934541822730504e-08,6.915148938062055e-08,7.010682207634445e-08,6.941379635878303e-08,7.020632163557803e-08,7.008420657441747e-08,7.076673021325158e-08,6.982350006046096e-08,1.1939779241827787e-07,1.2070101972937544e-07,1.197656821426303e-07,1.2082020017612155e-07,1.2052221028765445e-07,1.2132799053610635e-07,1.2013679068038614e-07,1.20581183062802e-07,9.755627763634244e-08,9.735408793590508e-08,9.683612213191123e-08,9.753159273312899e-08,9.635320226259672e-08,9.658034039908338e-08,1.2827580807618891e-07,1.2769036077757641e-07,1.2893319296836236e-07,1.2780394453423052e-07,1.2871046546408735e-07,1.653840562649357e-07,1.6729853771484756e-07,1.6575765795170125e-07,1.6675539183360687e-07,1.5090912214478862e-07,1.4962178517092919e-07,1.5091687794813269e-07,2.240600062662889e-07,LC_V24_H3p5_T8,2.240600062662889e-07
22,leg,5.469672230363673e-08,1.845687207786498e-08,1.8519966274140925e-08,1.8425064818212233e-08,1.8480793492345986e-08,1.843467016236224e-08,2.9034348310189053e-08,2.890458005184272e-08,2.9956107022572453e-08,2.9104212186999608e-08,2.8952999046272233e-08,2.9603541025357858e-08,2.9247456291595334e-08,2.3212822841979354e-08,2.3081298322719645e-08,2.4052067639670905e-08,2.3517298542763814e-08,2.3092203553820116e-08,2.3686992850106982e-08,2.3344086320610978e-08,2.2859596084506963e-08,2.2763713216860934e-08,2.3517576441747094e-08,2.3100201126401502e-08,2.3724658947022684e-08,2.29896685645877e-08,2.3765997627244843e-08,2.3296638440869976e-08,4.730782739412658e-08,4.71488215525629e-08,4.791154233901249e-08,4.736054037639946e-08,4.791943182920927e-08,4.775351297498791e-08,4.713300221779032e-08,1.169759904536411e-07,1.1794070283819477e-07,1.1700351937360426e-07,1.1775354046467277e-07,1.1735696065864666e-07,1.1815945185351789e-07,1.1683847845255548e-07,1.819556835531797e-07,1.830779628003677e-07,1.8203099450094185e-07,1.8287141034616257e-07,1.8209218070548485e-07,1.8281054509350749e-07,1.8115786712244606e-07,1.8147294156879549e-07,1.854269219630829e-07,1.8434395108782912e-07,1.8302075981803108e-07,1.8347011854715408e-07,1.8213461721407542e-07,1.8186834322846625e-07,2.548441036103218e-07,2.5375675165068037e-07,2.544111931311493e-07,2.528305801916066e-07,2.5340611045798824e-07,3.2876212775994893e-07,3.292420982190596e-07,3.271141217114362e-07,3.2720633508906633e-07,3.108574213723341e-07,3.08812417759175e-07,3.0967958927672047e-07,4.694097464413261e-07,LC_V24_H3p5_T8,4.694097464413261e-07
23,leg,4.221343504120868e-08,1.4644697650465291e-08,1.4680062321029274e-08,1.4609320494403638e-08,1.4646201167569951e-08,1.4604204122657726e-08,2.1688904217776673e-08,2.158924425950715e-08,2.2411202137711486e-08,2.1731073397011646e-08,2.162045097880067e-08,2.208805511678986e-08,2.1821781252750156e-08,1.614968097772718e-08,1.6027611277612022e-08,1.6871702916218587e-08,1.6404865724837887e-08,1.60519953882029e-08,1.652592941781603e-08,1.6256042851652076e-08,1.6566175966570055e-08,1.6491275014507173e-08,1.706867977457672e-08,1.6735059916982374e-08,1.7190759474149947e-08,1.6631032524142603e-08,1.71802352982877e-08,1.6840442346432074e-08,2.8384925196716978e-08,2.826034231843072e-08,2.9090437408524852e-08,2.8617659750421437e-08,2.9226043815915267e-08,2.918919513558172e-08,2.870539233024218e-08,7.803701113877409e-08,7.906632081983464e-08,7.836092376539923e-08,7.920364129554684e-08,7.908624442949967e-08,7.987257379353865e-08,7.880650836206549e-08,1.2654754848956795e-07,1.2743710760030077e-07,1.267266421003347e-07,1.2747105394648388e-07,1.2715920314447897e-07,1.2781709833468085e-07,1.2678545748003628e-07,1.27139816398473e-07,1.228055649177516e-07,1.2250759368989336e-07,1.2203024120463494e-07,1.2238291097924342e-07,1.2150736620850508e-07,1.2158254574471087e-07,1.579532525516669e-07,1.5745081016686345e-07,1.5829928363857136e-07,1.5744568538509963e-07,1.5815443407774088e-07,2.0132329983879723e-07,2.0205197964873787e-07,2.011386245483903e-07,2.0166735438332504e-07,1.912963072102916e-07,1.9045232934430226e-07,1.9133827128796364e-07,2.9758336717981216e-07,LC_V24_H3p5_T8,2.9758336717981216e-07
26,leg,7.174009663903957e-08,2.0001828448139146e-08,1.987418441299359e-08,2.0043329730563325e-08,1.9909476941804187e-08,2.017739529149671e-08,2.1795204648506437e-08,2.162850831853576e-08,2.293240405958261e-08,2.190944412352268e-08,2.1715782790457632e-08,2.2540603572481408e-08,2.210455844580305e-08,1.6101035769026978e-08,1.5912511313021543e-08,1.714582586807456e-08,1.6502797419740222e-08,1.5955610271983827e-08,1.671130392225248e-08,1.6296863401853807e-08,1.3652189124067205e-08,1.3574145651168246e-08,1.427577827283747e-08,1.3879270517266163e-08,1.4567072934707947e-08,1.3774714540132644e-08,1.4648758377682126e-08,1.4126038028846735e-08,3.557870532085327e-08,3.537221555428455e-08,3.64770838324881e-08,3.5770648825104624e-08,3.660599773325092e-08,3.645363571547897e-08,3.564137222661257e-08,9.891165081921206e-08,9.990666816918331e-08,9.899792549037247e-08,9.986543743665407e-08,9.96321138624229e-08,1.0055492602121391e-07,9.927247775134428e-08,1.6455833999213143e-07,1.6632306861067725e-07,1.6496611167412367e-07,1.665035630235902e-07,1.6594958134242044e-07,1.6723129980794018e-07,1.6517226137009417e-07,1.659636513847011e-07,1.4425099937264297e-07,1.4370974284264685e-07,1.4270298609787027e-07,1.4349023923870888e-07,1.4138531460062145e-07,1.4178164527851762e-07,1.9829667146274457e-07,1.9659737077354738e-07,1.97975638498715e-07,1.955010346436956e-07,1.9642222524288964e-07,2.497312685347412e-07,2.518754903628303e-07,2.4856159618965027e-07,2.4951971709891365e-07,2.1944511063741711e-07,2.1680911162087962e-07,2.1827535800949838e-07,3.2210275823729126e-07,LC_V24_H3p5_T8,3.2210275823729126e-07
27,leg,5.460669509915408e-08,1.5896324296927505e-08,1.579174956097908e-08,1.5913575770808912e-08,1.58087364510733e-08,1.5996043703262386e-08,1.6063113837719753e-08,1.5940501203947236e-08,1.6908819093787096e-08,1.6155231007915624e-08,1.601348409013564e-08,1.663005135664572e-08,1.630634523532156e-08,1.0471296616845456e-08,1.0341516903440554e-08,1.124031477498015e-08,1.0756204310085584e-08,1.0373504420842627e-08,1.0888491028397296e-08,1.0598519976403527e-08,9.777246745700255e-09,9.722829413973614e-09,1.0260244156860422e-08,9.971949209812098e-09,1.046156864530681e-08,9.917580437917258e-09,1.052975323948132e-08,1.017613018510945e-08,1.8848019795430596e-08,1.8703227301274543e-08,1.958569990772869e-08,1.9108674843160003e-08,1.9720768751557012e-08,1.968305156173439e-08,1.9210934631724433e-08,6.780498781166306e-08,6.882896532365955e-08,6.809511246378808e-08,6.894054520197761e-08,6.881855876758564e-08,6.955359953047061e-08,6.853890454379773e-08,1.173157544754355e-07,1.1864849642651398e-07,1.1772280749973503e-07,1.1880668349267276e-07,1.1853171417731106e-07,1.1940476425833866e-07,1.1815178764729418e-07,1.1865316708151662e-07,9.486042351891763e-08,9.469568604294578e-08,9.421416080996795e-08,9.491988806529132e-08,9.375650279029167e-08,9.401839100056141e-08,1.240608453224732e-07,1.2348261947348415e-07,1.2471393073485391e-07,1.2360641112913495e-07,1.2452697261321571e-07,1.609697032212068e-07,1.6293511813144432e-07,1.6139831394494672e-07,1.6243420176586763e-07,1.4651171918610362e-07,1.452538237223438e-07,1.4663750651155176e-07,2.1858796490988015e-07,LC_V24_H3p5_T8,2.1858796490988015e-07
30,leg,5.4326111891547075e-08,1.8482355000329496e-08,1.8540133745557072e-08,1.8451934693415936e-08,1.8506217699869632e-08,1.846509642035809e-08,2.8942857213970972e-08,2.8827046667663178e-08,2.9792258964562914e-08,2.902079914679668e-08,2.8883200406909554e-08,2.9493087787673884e-08,2.91660139267637e-08,2.3140044307919298e-08,2.3024969055064797e-08,2.3876376958497794e-08,2.339727635548167e-08,2.3011917627100854e-08,2.3530731485231838e-08,2.3219271709424105e-08,2.2911808309085296e-08,2.2821454082339522e-08,2.3509134967826343e-08,2.314253521065167e-08,2.3724549033044765e-08,2.3102657460100808e-08,2.382868372222844e-08,2.342789684939785e-08,4.755487277703684e-08,4.742831601270206e-08,4.8088609774229015e-08,4.7614516482973744e-08,4.814640800525726e-08,4.8087945167002914e-08,4.753852076591704e-08,1.1874830783714825e-07,1.1977183259087996e-07,1.1890511003147776e-07,1.197170832693525e-07,1.1933385757051442e-07,1.2021494921130806e-07,1.1881280804574208e-07,1.8411796468317525e-07,1.850638004453228e-07,1.8410196300380452e-07,1.8485659737152908e-07,1.8415500004599704e-07,1.848969098381739e-07,1.8338191042754566e-07,1.8378738299197353e-07,1.866110081363373e-07,1.8548205440323245e-07,1.8415315529592398e-07,1.8443089564824348e-07,1.832540524489135e-07,1.8287128482545814e-07,2.550789113996135e-07,2.538951074779911e-07,2.5451421829119804e-07,2.5300334613297005e-07,2.5366666101862735e-07,3.2850405428366355e-07,3.2879544992106065e-07,3.26694959645044e-07,3.2681324180556963e-07,3.106925393213315e-07,3.0859380199008205e-07,3.0959290450461083e-07,4.6821464170579193e-07,LC_V24_H3p5_T8,4.6821464170579193e-07
31,leg,4.2199737951399595e-08,1.4811177890038896e-08,1.4847263237543055e-08,1.477602491717472e-08,1.4814381441490859e-08,1.4772064400734812e-08,2.1705418959016816e-08,2.1609213243862268e-08,2.2398323259608855e-08,2.174567691963969e-08,2.1639795484941802e-08,2.2090865310735776e-08,2.1834673576805275e-08,1.6187951968627627e-08,1.6070836065840962e-08,1.6885387346951292e-08,1.6434338125071315e-08,1.6092949040683023e-08,1.6552299096161855e-08,1.628775634684469e-08,1.6807765768567407e-08,1.673636363129512e-08,1.7289571087780724e-08,1.6972134567147904e-08,1.7401410594689984e-08,1.6878483141236248e-08,1.738694092779112e-08,1.7070610030676412e-08,2.8640438016862845e-08,2.8515107792297895e-08,2.937277380770697e-08,2.8889783138852112e-08,2.9510179242864253e-08,2.94731533267185e-08,2.8989263095411684e-08,7.945566106865699e-08,8.039250430008078e-08,7.970437767696827e-08,8.046394604682075e-08,8.031365650015833e-08,8.098494993732791e-08,8.002652617155384e-08,1.2846769748014017e-07,1.293816807726786e-07,1.2866047991917205e-07,1.2941644670287834e-07,1.290958788365434e-07,1.2972928534599595e-07,1.2870033772615114e-07,1.2903171501135973e-07,1.2480309083974602e-07,1.2452348672944283e-07,1.2404597315836489e-07,1.2443817046474056e-07,1.2350423122869613e-07,1.2359251570636603e-07,1.6028705106628637e-07,1.5985283419401083e-07,1.606294277101231e-07,1.5987868205467146e-07,1.6052735608009505e-07,2.0411033831983032e-07,2.0478648479016665e-07,2.039454815180428e-07,2.0445847017372913e-07,1.9436776447313762e-07,1.9351730579669242e-07,1.9434869372787245e-07,3.023103091211822e-07,LC_V24_H3p5_T8,3.023103091211822e-07
69,brace,1.6075310716882893e-08,8.998573089305917e-10,8.893473784854596e-10,9.296630844745818e-10,9.033502150632028e-10,1.2741332134657326e-09,1.62560756488172e-09,1.6138815910603521e-09,1.7570900124878894e-09,1.6323173325349848e-09,1.6108714582499567e-09,2.469337872287907e-09,2.0957073938692136e-09,2.4413022082239782e-09,2.417982037293409e-09,3.003694154260817e-09,2.8733198792735903e-09,2.510125933018364e-09,4.116838315444947e-09,3.6166258904061327e-09,4.253418782495994e-09,4.204403103900211e-09,4.951359420604654e-09,4.7447836896545805e-09,6.85059152078046e-09,5.597961078386449e-09,8.889826342688047e-09,7.734280882297622e-09,1.346251109406244e-08,1.3401365305984959e-08,1.519273521392648e-08,1.4908705987389208e-08,1.7856079213652967e-08,2.060905582000561e-08,1.8880415202090376e-08,1.90062907004366e-08,1.9201736473683423e-08,1.9023274915801503e-08,2.096839807565887e-08,2.3714377489368412e-08,2.9148063287316045e-08,2.6228130248502602e-08,2.5697870951913544e-08,2.5994981130368247e-08,2.574122772310003e-08,2.623383323754543e-08,2.7394661975671053e-08,3.3121761521670265e-08,2.9986244304995514e-08,3.6118367034334e-08,3.122872673361648e-08,3.11227343896138e-08,3.2329556381920416e-08,3.7888711754941494e-08,3.449692512808717e-08,4.054932438289025e-08,4.9438166998581524e-08,4.938861894061625e-08,5.508781500063442e-08,5.815760544956669e-08,6.705331414652233e-08,6.437719043521904e-08,6.730757054849677e-08,7.009666703732824e-08,7.913981840775635e-08,6.538863954825656e-08,6.862224563152461e-08,7.768164765618264e-08,9.503633721493348e-08,LC_V24_H3p5_T8,9.503633721493348e-08
70,brace,1.1156151543171836e-08,2.207429359151582e-09,2.206103504705539e-09,2.2149710470872793e-09,2.2032570767963836e-09,2.252917292061073e-09,3.918494322756095e-09,3.900350414286022e-09,4.024611011262826e-09,3.917802723797853e-09,3.896873084055124e-09,3.975245949595806e-09,3.925753671048017e-09,4.111831315838945e-09,4.0924107058648956e-09,4.238798090359567e-09,4.151240460233486e-09,4.068324459844473e-09,4.201285448677312e-09,4.119703311529995e-09,6.263999322575648e-09,6.245475797569452e-09,6.496713589648837e-09,6.416957877406159e-09,6.909939081237362e-09,6.467431647343754e-09,7.837766913973902e-09,6.938847419212185e-09,1.64867949246325e-08,1.6451785039525348e-08,1.6782748912377176e-08,1.6658008753414037e-08,1.735860597518403e-08,1.8118198297961115e-08,1.7312012287390765e-08,2.6459155078372854e-08,2.667533196612831e-08,2.651628272644361e-08,2.6964130010510773e-08,2.717659565666295e-08,2.8183463317728944e-08,2.7374125160375932e-08,3.527929666002639e-08,3.552176157621005e-08,3.54279170057013e-08,3.586694139706329e-08,3.618331541441601e-08,3.715189321922514e-08,3.639878454203326e-08,3.743187001275398e-08,3.845498535943952e-08,3.8468958250633315e-08,3.846190659751371e-08,3.892463261092934e-08,3.816780650058264e-08,3.8982484342284e-08,5.962429738356393e-08,5.95639137240031e-08,6.043431251926754e-08,6.047296198859132e-08,6.252042524029992e-08,7.521706104637054e-08,7.584392373860545e-08,7.551010813087059e-08,7.731859226062356e-08,7.307848160597704e-08,7.283384253487446e-08,7.444131832173426e-08,9.745951447348673e-08,LC_V24_H3p5_T8,9.745951447348673e-08
