member_id,zone,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
11,submerged,3.85147341510517e-10,1.8727234319598936e-11,1.85715785347846e-11,2.0960112675907665e-11,2.0698057535744888e-11,2.5337447359636617e-11,2.3305432792459106e-11,2.318536747791267e-11,2.777810162069125e-11,2.6571419417891368e-11,2.631583612681704e-11,3.360101010309262e-11,3.294963343446476e-11,4.1081051859526465e-11,4.060150430668288e-11,4.781615568877792e-11,4.6461285997140966e-11,4.512934881690886e-11,5.683774955440691e-11,5.562670264148269e-11,2.93846829924954e-11,2.92825004265913e-11,3.5008397544428814e-11,3.445195555021509e-11,4.433938713704192e-11,4.26438690104163e-11,5.909191650037782e-11,5.7273700571189794e-11,9.491250533406687e-10,9.42927226053811e-10,9.755549387565948e-10,9.60169313239957e-10,1.007663257776164e-09,1.0553825752981975e-09,1.024392308192498e-09,1.7681950002051772e-09,1.8005887571814507e-09,1.7847748286829298e-09,1.8552230302447108e-09,1.944129182664733e-09,2.1051942541544616e-09,2.053268425781194e-09,2.754590580687219e-09,2.812137744584787e-09,2.792518374922768e-09,2.8973564992184774e-09,3.0233988681501233e-09,3.2430466618458923e-09,3.1792880409511337e-09,3.4550702843852994e-09,2.8677641529271553e-09,2.9066324391180477e-09,2.9847244162310134e-09,3.1986099186658363e-09,3.112549180058799e-09,3.3715659465954103e-09,6.312527459797548e-09,6.3322153837180614e-09,6.58220654508323e-09,6.706342293132285e-09,7.133591581233339e-09,8.278021727676517e-09,8.586924880165202e-09,8.660712213903606e-09,9.149293237190895e-09,5.5357975929952475e-09,5.67804581596563e-09,6.090966689655274e-09,8.957116881387228e-09,LC_V20_H3p5_T8,9.149293237190895e-09
12,submerged,8.273385828192753e-11,9.561458242154503e-12,9.53441570967725e-12,1.0015507119999503e-11,9.928626930387522e-12,1.0797370311655106e-11,1.0308019099526087e-11,1.0244790423042274e-11,1.1622132042144533e-11,1.102398519179274e-11,1.0874321355955395e-11,1.2513817732432796e-11,1.2155590589194461e-11,1.1458472568292623e-11,1.1308672190804871e-11,1.3047582684287357e-11,1.2554882833638481e-11,1.1958034417694963e-11,1.4086951262027086e-11,1.3538131911881805e-11,1.1716074563481362e-11,1.1674418565393438e-11,1.297926591452282e-11,1.2685483302657271e-11,1.4688092776700985e-11,1.3923459391655845e-11,1.6950785004025424e-11,1.6260618431158015e-11,1.6896767541241237e-10,1.67783488808554e-10,1.7435413587601406e-10,1.7095792861005735e-10,1.7922870239572799e-10,1.842910546790981e-10,1.7693995855876017e-10,4.147144497839914e-10,4.2141689058667245e-10,4.179652106676412e-10,4.3020252483468935e-10,4.4176589909470386e-10,4.650020294411848e-10,4.5210716555998296e-10,7.20763555296529e-10,7.387189080810108e-10,7.309616997910693e-10,7.57403531720156e-10,7.776853853868981e-10,8.182680635306009e-10,7.979927125766973e-10,8.428949706082969e-10,6.328246423005621e-10,6.364494116655251e-10,6.430130855541458e-10,6.73706080444917e-10,6.534036481830161e-10,6.85802860730153e-10,1.2696696215092142e-09,1.2673568009270214e-09,1.3036892315997387e-09,1.3066230412095726e-09,1.3594530846964277e-09,1.5932105198604434e-09,1.637538432596682e-09,1.6312026568877859e-09,1.6949607631242814e-09,1.082686536294545e-09,1.0857490728908338e-09,1.1387715993743935e-09,1.759108586238336e-09,LC_V24_H3p5_T8,1.759108586238336e-09
13,submerged,9.473635728808061e-10,3.265766980432439e-11,3.3150598100674226e-11,3.945516338491298e-11,3.996373973797732e-11,5.505457034142986e-11,6.99967772842816e-11,6.981527266860323e-11,8.687620899183658e-11,8.562330052231272e-11,8.508930179925037e-11,1.192118617106445e-10,1.1865832622774455e-10,1.4161476290087818e-10,1.4116608792654655e-10,1.6878379607302982e-10,1.6755250288214277e-10,1.6563053504691107e-10,2.19906931827879e-10,2.1848130721999312e-10,1.5967419989503238e-10,1.5855783726210035e-10,1.8908890661378398e-10,1.8721630444501625e-10,2.429933301079019e-10,2.3728927348362754e-10,3.360926112964184e-10,3.3441942899928254e-10,3.6797430574166123e-09,3.6719086187664008e-09,3.7881383793191835e-09,3.762497951839737e-09,3.994569003197972e-09,4.3196096009987896e-09,4.248673166897706e-09,7.129789687005497e-09,7.324810393126201e-09,7.263097094848308e-09,7.656790749238061e-09,8.168571739665336e-09,9.058321100902656e-09,8.914451429110431e-09,1.1943798165539915e-08,1.214103741750473e-08,1.2038709053587325e-08,1.251097769671451e-08,1.313796628167778e-08,1.423331087297249e-08,1.4039612838764351e-08,1.547905047283152e-08,1.432060982307172e-08,1.4578235545998239e-08,1.5191737831908026e-08,1.6283989640122348e-08,1.6123568220591438e-08,1.7577403720445285e-08,2.814911604315978e-08,2.8959862209382212e-08,3.047092129705048e-08,3.2124463163031326e-08,3.494874324205886e-08,3.897865119882008e-08,4.060741179787935e-08,4.228500399983715e-08,4.531129800305975e-08,3.4778899952827866e-08,3.642119160640667e-08,3.913464466272745e-08,5.584172844710837e-08,LC_V24_H3p5_T8,5.584172844710837e-08
14,submerged,5.192826409645156e-10,2.090842291702941e-11,2.1225599869900662e-11,2.4642132066214653e-11,2.493980351452224e-11,3.2981143346253694e-11,4.274100538484317e-11,4.263470057091674e-11,5.212795121433065e-11,5.116751609114383e-11,5.077876779922133e-11,6.926236907870808e-11,6.865104479688353e-11,8.05202010941448e-11,8.01953163340536e-11,9.500266374313754e-11,9.403715086606568e-11,9.26229087874276e-11,1.209891426293944e-10,1.199335820526757e-10,9.122624824232645e-11,9.051262804197467e-11,1.0662318684336486e-10,1.0528599485790578e-10,1.3460463404830872e-10,1.3094923268803931e-10,1.8193194023174503e-10,1.8066596131937585e-10,1.8970265785234434e-09,1.892673728085228e-09,1.9519076571656065e-09,1.9397648236272253e-09,2.059016115827688e-09,2.2192955686034833e-09,2.178855168136986e-09,3.842877333808158e-09,3.940100157591677e-09,3.905074689295466e-09,4.105057632624275e-09,4.360972559212922e-09,4.8120318130713336e-09,4.730355274812027e-09,6.590416741670388e-09,6.700958200099197e-09,6.641232130389361e-09,6.8944053661062105e-09,7.207560023352437e-09,7.77717116035705e-09,7.660056393860715e-09,8.400039551123569e-09,7.874066440585257e-09,7.98428922657573e-09,8.287485567764741e-09,8.847020900641733e-09,8.764952366247966e-09,9.504524874960552e-09,1.5268808000714927e-08,1.5674164514278348e-08,1.6445780744888602e-08,1.7224522072996138e-08,1.8651701198210882e-08,2.12516097120958e-08,2.2075772129436324e-08,2.2869393514609286e-08,2.438580117875083e-08,1.907899945203532e-08,1.9878019497174128e-08,2.1247299211020912e-08,3.08924032011652e-08,LC_V24_H3p5_T8,3.08924032011652e-08
15,submerged,2.81607426243842e-10,1.7497406330462706e-11,1.777058568438777e-11,1.930542196685784e-11,1.94867427652585e-11,2.3003723677424395e-11,3.161110973283522e-11,3.155143983503149e-11,3.632396843116424e-11,3.53679253198761e-11,3.5050003834351305e-11,4.352493957456912e-11,4.279540618651651e-11,4.9650755793467484e-11,4.9382305624132046e-11,5.695729503830585e-11,5.579206662304944e-11,5.4137803355818285e-11,6.657614098530158e-11,6.536977529181578e-11,5.777566065349709e-11,5.75057446008236e-11,6.483786284795422e-11,6.3709297384301e-11,7.645139789123382e-11,7.439388513302949e-11,9.59593213248179e-11,9.458771011386649e-11,8.374963174797364e-10,8.35568746409366e-10,8.667266513099044e-10,8.601056150357452e-10,9.110501848506956e-10,9.726470719913585e-10,9.495732835985876e-10,1.996404242050484e-09,2.0332887137571366e-09,2.0102283227936838e-09,2.0894286920329072e-09,2.186029055058859e-09,2.3712706343082117e-09,2.319658926595561e-09,3.667242413703124e-09,3.733326156337673e-09,3.6945243161983135e-09,3.822800200805312e-09,3.939358572482931e-09,4.191580978258402e-09,4.092875268880863e-09,4.400473816946586e-09,4.405687287218954e-09,4.424369488695316e-09,4.5089736539719095e-09,4.7240080861804225e-09,4.679443402896815e-09,4.9707709083206735e-09,8.103986292620128e-09,8.223716452737322e-09,8.538468962798914e-09,8.818997326373258e-09,9.367925872654002e-09,1.1497739531135546e-08,1.1797630146875262e-08,1.2027260296687426e-08,1.2598401869657854e-08,1.0359728734634958e-08,1.060429063087554e-08,1.117956564495768e-08,1.7221387425234905e-08,LC_V24_H3p5_T8,1.7221387425234905e-08
16,submerged,5.598459696421377e-11,9.243823972790547e-12,9.372669395733674e-12,9.621353271985655e-12,9.692317907117462e-12,1.026867341218608e-11,1.3523416778346788e-11,1.3481639144465032e-11,1.4878864396302e-11,1.4314860083344942e-11,1.4147942948432712e-11,1.6049118463315103e-11,1.5623743223574214e-11,1.477508157352097e-11,1.4678014797984137e-11,1.6473302565808385e-11,1.602618930343349e-11,1.53867799047779e-11,1.771409274663565e-11,1.71389130020298e-11,2.0343166730885063e-11,2.0209682247336646e-11,2.2005561008755064e-11,2.1567719323454197e-11,2.4240971703678237e-11,2.3274749560506998e-11,2.73788167702455e-11,2.6439507661258616e-11,1.7617366063473732e-10,1.7568152381092694e-10,1.8211573100837615e-10,1.8065682356829956e-10,1.9134488301603414e-10,1.9979416645040848e-10,1.9340243432291688e-10,4.801050141340205e-10,4.879926253639082e-10,4.815071436694819e-10,4.958825477392457e-10,5.053393655839681e-10,5.341305536442161e-10,5.184533062477533e-10,8.731847171724887e-10,8.931672283653496e-10,8.836355926498901e-10,9.111745124534367e-10,9.268527779271183e-10,9.696469731157193e-10,9.414403015948478e-10,9.868097667621512e-10,9.463633081829184e-10,9.39681153715275e-10,9.36817210378146e-10,9.552488615245473e-10,9.365614996757783e-10,9.603194926034375e-10,1.6320730574411638e-09,1.6290575488358612e-09,1.6575343624380712e-09,1.6612966193375481e-09,1.720339076030486e-09,2.322609262072978e-09,2.345174402172213e-09,2.3298908430005163e-09,2.3734642666410594e-09,2.002684440219743e-09,1.998964476095562e-09,2.0535686621440495e-09,3.5184888403239567e-09,LC_V24_H3p5_T8,3.5184888403239567e-09
17,submerged,2.551512731945747e-10,3.833138550274587e-11,3.8015849690633614e-11,3.9029070190452073e-11,3.855217224530283e-11,4.0159607940799776e-11,3.3717182536779397e-11,3.337394960707216e-11,3.6793767472080435e-11,3.4558167891719625e-11,3.4104176494942774e-11,3.692521181435545e-11,3.5840218475931134e-11,2.753425702749271e-11,2.7074880105373116e-11,3.0603189173423064e-11,2.908069273897346e-11,2.7512215251012438e-11,3.0555498654195854e-11,2.9241853095096985e-11,3.658945345955502e-11,3.640078952060385e-11,3.833198809494541e-11,3.739327146190611e-11,4.0653363471326957e-11,3.818069324435996e-11,4.2915986282864784e-11,4.1148362011068115e-11,2.8422780129986644e-10,2.8246078099115116e-10,2.921763381511713e-10,2.861107869058377e-10,2.9675026593571976e-10,2.9985358165451263e-10,2.90770570692968e-10,9.84663338088015e-10,9.94844030330454e-10,9.846992197900638e-10,9.99232612506505e-10,1.0056322197453334e-09,1.0316681879911321e-09,1.007709483967114e-09,2.023801103378286e-09,2.066706852527417e-09,2.044312596012451e-09,2.088174798384661e-09,2.1006672210504912e-09,2.168293873790765e-09,2.1151613499477792e-09,2.1788488549161774e-09,1.5815963116925456e-09,1.5736530380886023e-09,1.565986349103597e-09,1.5909375414531017e-09,1.5528504013312614e-09,1.5775464351187136e-09,2.7053989662573774e-09,2.680210113813843e-09,2.735714167148306e-09,2.6971790541959556e-09,2.757309090512849e-09,3.3933128212276877e-09,3.4623119386948903e-09,3.3937785750755317e-09,3.460375400315625e-09,2.3922240424564154e-09,2.3530610500027087e-09,2.407160546577015e-09,4.229156503723767e-09,LC_V24_H3p5_T8,4.229156503723767e-09
18,splash,4.069933143813797e-08,1.1388822790830127e-08,1.1317805769433893e-08,1.1413666112926902e-08,1.1339671149868159e-08,1.14894500027641e-08,1.2402033395630597e-08,1.231584192495601e-08,1.298001634282272e-08,1.2462758678324218e-08,1.2361470300853607e-08,1.2792814782960688e-08,1.2565079031305963e-08,9.148521090818251e-09,9.047760030337243e-09,9.691249211673097e-09,9.354143790067943e-09,9.062418764677679e-09,9.460248815189072e-09,9.23713493297561e-09,7.856637371529498e-09,7.816628825767279e-09,8.144710694331488e-09,7.964703773419079e-09,8.286896747156917e-09,7.914956848829778e-09,8.340336451088194e-09,8.08219962894736e-09,2.0478590376560424e-08,2.0380184330822042e-08,2.0908388462684924e-08,2.0555176141433718e-08,2.1000057858533786e-08,2.0954786315658163e-08,2.0537579168130713e-08,5.738152601217594e-08,5.791782134668535e-08,5.737908975760564e-08,5.783030271455825e-08,5.7641782735875494e-08,5.810841884141976e-08,5.736970270137784e-08,9.519112887116863e-08,9.617463145248889e-08,9.544666875159283e-08,9.631632616231498e-08,9.611489448490497e-08,9.684975944898061e-08,9.580634783328548e-08,9.630791394951595e-08,8.300121752816832e-08,8.261082859212518e-08,8.200444421129559e-08,8.23882902160297e-08,8.127766402355962e-08,8.148875030677085e-08,1.1356174238753782e-07,1.1265425058384187e-07,1.133938804389885e-07,1.1220487495725254e-07,1.1278120027623834e-07,1.4238107774068221e-07,1.4349362182292528e-07,1.416635077260119e-07,1.421675767219557e-07,1.2495469099715592e-07,1.2339692101534372e-07,1.2428001201409353e-07,1.8381415238925307e-07,LC_V24_H3p5_T8,1.8381415238925307e-07
19,splash,3.1043258515298924e-08,8.992719320557056e-09,8.933227847864471e-09,9.001979435134338e-09,8.942545635699559e-09,9.048289023699731e-09,8.975007307584282e-09,8.913440439115354e-09,9.39330235462832e-09,9.025663809180306e-09,8.951786998900147e-09,9.267703129519947e-09,9.104167377075992e-09,5.85885445931143e-09,5.786891681267162e-09,6.2726195223982656e-09,6.0108934490354875e-09,5.802865389797742e-09,6.079549814358331e-09,5.923418780134329e-09,5.454595001877676e-09,5.4238206093683095e-09,5.692093376813874e-09,5.551213511835637e-09,5.799613467403418e-09,5.523762911831042e-09,5.843986217744022e-09,5.666160088675467e-09,1.0871153678454461e-08,1.0794206628523082e-08,1.1269445835357861e-08,1.0999107486371553e-08,1.1334702242704167e-08,1.1303722675400108e-08,1.1039840873893368e-08,3.945457562586299e-08,3.999941463317762e-08,3.960416979741428e-08,4.005608008577286e-08,3.9986264854814926e-08,4.037660968873506e-08,3.9837203519029924e-08,6.811865877735102e-08,6.88620770574182e-08,6.832823627286938e-08,6.892947160605572e-08,6.875960001016721e-08,6.921838984306624e-08,6.85392953016946e-08,6.879213487070124e-08,5.5667856644073205e-08,5.5552184117115916e-08,5.52563087640178e-08,5.565302626368172e-08,5.49807944023651e-08,5.510995279629531e-08,7.320221914748322e-08,7.286758778539972e-08,7.35760640667318e-08,7.293133466516394e-08,7.344804320637628e-08,9.437663561991566e-08,9.546970996912491e-08,9.458829283796673e-08,9.515715576928999e-08,8.611585535386823e-08,8.538097876800349e-08,8.611941473252512e-08,1.2784742209081963e-07,LC_V24_H3p5_T8,1.2784742209081963e-07
20,atmospheric,9.816718927368012e-11,2.264202553679354e-11,2.2506086453733046e-11,2.269513150085278e-11,2.2539677504672606e-11,2.2861754718260636e-11,1.530111985373544e-11,1.508938126460722e-11,1.6547030177486275e-11,1.5374368826779952e-11,1.5154699739129116e-11,1.601797420149519e-11,1.555290783217743e-11,9.509779747481552e-12,9.364888386754905e-12,1.0355578146680754e-11,9.808273393231565e-12,9.36653700205047e-12,9.93551046945568e-12,9.595659581140613e-12,1.878571706297448e-11,1.859384826468111e-11,1.9829714697875775e-11,1.9102834743902002e-11,2.0027023144038835e-11,1.883049292414315e-11,1.9972683383035176e-11,1.9289605652321914e-11,9.820725401720742e-11,9.752312355316476e-11,1.0058186813740882e-10,9.849652338314842e-11,1.0049523798522735e-10,9.968596693766849e-11,9.764409191969313e-11,5.041106459369389e-10,5.096586564042736e-10,5.034897675255156e-10,5.074977897150118e-10,5.038961022750994e-10,5.063541045539167e-10,4.98905221632521e-10,1.1088093153147234e-09,1.1217442523883202e-09,1.1105560202871365e-09,1.1203481162915002e-09,1.1142800394534286e-09,1.121863295484017e-09,1.106944159101114e-09,1.1104181979511278e-09,8.171558103289982e-10,8.095291518325255e-10,7.991399165382328e-10,8.011534657077221e-10,7.909044408621249e-10,7.877668556035901e-10,1.261026303972232e-09,1.2422603181435556e-09,1.2460442350987235e-09,1.2230713851352964e-09,1.2232087852236506e-09,1.5923148303015548e-09,1.6014510920005998e-09,1.5714896819474536e-09,1.5686184996500172e-09,1.263991862171345e-09,1.2417921781366612e-09,1.2460096097877689e-09,2.0043785916232842e-09,LC_V24_H3p5_T8,2.0043785916232842e-09
21,submerged,1.6725914556932023e-10,3.701448070483572e-11,3.748660148874809e-11,3.72605138089629e-11,3.7647768465049604e-11,3.777512706862753e-11,4.840400696283651e-11,4.8266155407772844e-11,5.1342157184978883e-11,4.937590407706618e-11,4.886493268780335e-11,5.194098431477988e-11,5.0645253033672934e-11,4.290316516666879e-11,4.26783384757914e-11,4.611412840890874e-11,4.4730812369489315e-11,4.317719110161453e-11,4.644809682766934e-11,4.4861579312252876e-11,6.805482683865646e-11,6.779400530257455e-11,7.186737707692916e-11,7.003780109252654e-11,7.462946440387753e-11,7.132331202286559e-11,7.761676585323856e-11,7.513769237487048e-11,3.630371270075724e-10,3.6185625454560854e-10,3.700199771379687e-10,3.6550077324698246e-10,3.77319273376581e-10,3.831585403987971e-10,3.7339620050166917e-10,1.1612404088820873e-09,1.1827597152516857e-09,1.1642952526397973e-09,1.186090447784877e-09,1.1855436137553222e-09,1.2162157964017793e-09,1.1830571865042704e-09,2.2618009294977814e-09,2.305242951316525e-09,2.2799333902490107e-09,2.329227363655947e-09,2.334120803050734e-09,2.396379947422274e-09,2.326970974458552e-09,2.3802564606490313e-09,2.2549258642061364e-09,2.230952785018449e-09,2.202955360164642e-09,2.2287807133340142e-09,2.187555163684478e-09,2.2036629723999707e-09,3.6572040957625946e-09,3.6317475398159083e-09,3.6655729438188808e-09,3.6341137276032883e-09,3.6859114078589687e-09,5.230038755888694e-09,5.2554012997957595e-09,5.190129128706115e-09,5.2204627223071975e-09,4.330174019571441e-09,4.300101407017497e-09,4.37545721020549e-09,8.14627024604191e-09,LC_V24_H3p5_T8,8.14627024604191e-09
22,splash,3.11716763824493e-08,1.0518548555541732e-08,1.0554522549033128e-08,1.0500483243897362e-08,1.0532243889262032e-08,1.0506034943136764e-08,1.6547130384276952e-08,1.6473164611682564e-08,1.7072593136849008e-08,1.658704185046321e-08,1.6500835200218088e-08,1.6871800472730408e-08,1.666881857190578e-08,1.3230375493396978e-08,1.3155421409417605e-08,1.3708785436405147e-08,1.340400235796714e-08,1.316173584008456e-08,1.3500891128948163e-08,1.3305434095762263e-08,1.3027968206816237e-08,1.2973321390260146e-08,1.3403098783841954e-08,1.316519351779566e-08,1.3521261428039684e-08,1.3102297137736688e-08,1.3545025472218452e-08,1.3277480754745294e-08,2.6967715062055998e-08,2.6877107901642366e-08,2.7311942506173216e-08,2.6997796529023416e-08,2.731655724340561e-08,2.72221189125743e-08,2.6868565096872472e-08,6.667757755740636e-08,6.722734733085409e-08,6.669321011052828e-08,6.712074301804755e-08,6.68949826729121e-08,6.735275546418441e-08,6.659988882123427e-08,1.0371179551326089e-07,1.0435142339563614e-07,1.0375472865961024e-07,1.0423385978350223e-07,1.0378986253554096e-07,1.0419972821452994e-07,1.0325762484320155e-07,1.0343756494998984e-07,1.0569287910393539e-07,1.0507573348012213e-07,1.0432145950600333e-07,1.0457851124597841e-07,1.0381727620529251e-07,1.0366592253938618e-07,1.4526677155740352e-07,1.4464751667908432e-07,1.4502108363360505e-07,1.4412065779805292e-07,1.4444955081305918e-07,1.8739844241301092e-07,1.8767245612875518e-07,1.864601576249633e-07,1.865133547998383e-07,1.7719087296738233e-07,1.760256178604505e-07,1.765207294389453e-07,2.6755937655537945e-07,LC_V24_H3p5_T8,2.6755937655537945e-07
23,splash,2.4076346451347645e-08,8.352558766577495e-09,8.372716166145217e-09,8.332380133943416e-09,8.353399073446487e-09,8.329463508521377e-09,1.2370175451095897e-08,1.2313328881339667e-08,1.2782205370198227e-08,1.2394216016920351e-08,1.2331118914813102e-08,1.2597834989009671e-08,1.2445944857484573e-08,9.211960532767922e-09,9.142297207576067e-09,9.623848427796816e-09,9.357500543981345e-09,9.156196852787604e-09,9.426533632848592e-09,9.272561540178717e-09,9.448892556717523e-09,9.406162503413255e-09,9.735526627228635e-09,9.545297307277672e-09,9.805235212631016e-09,9.485909881620527e-09,9.799263513397605e-09,9.605369516181508e-09,1.6193800568371613e-08,1.6122747966056327e-08,1.6596628461473923e-08,1.632651740462e-08,1.667389876148441e-08,1.6652815468127844e-08,1.6376767503574537e-08,4.452361525282848e-08,4.5110767879545766e-08,4.4708312848054223e-08,4.5189035025667424e-08,4.5121919827675885e-08,4.557025868376458e-08,4.496211946058882e-08,7.2201122209951e-08,7.270792242373256e-08,7.230291722796671e-08,7.272692255477472e-08,7.254871351051809e-08,7.292404081547327e-08,7.233537140581906e-08,7.253724234848181e-08,7.006641462065129e-08,6.989603255427629e-08,6.96234164926068e-08,6.98242121066636e-08,6.932478640706405e-08,6.936726025892207e-08,9.012882993061308e-08,8.984156884775359e-08,9.032587399619681e-08,8.983813195344253e-08,9.024230013457224e-08,1.1486346102414463e-07,1.1527884424505065e-07,1.1475715501598685e-07,1.1505840215377617e-07,1.0913821342005994e-07,1.0865602960041768e-07,1.0916120025824436e-07,1.6976807241019115e-07,LC_V24_H3p5_T8,1.6976807241019115e-07
24,atmospheric,6.555177303242771e-11,2.215328756372975e-11,2.2375445637290984e-11,2.2044708547070893e-11,2.225251916650368e-11,2.1956945983489348e-11,2.3706992318948766e-11,2.3605029248411895e-11,2.4760346804844403e-11,2.3743084442380076e-11,2.3614580990542613e-11,2.4266271489155617e-11,2.385376195819765e-11,1.8192532224039073e-11,1.8026898176944865e-11,1.9171387835197226e-11,1.8510886520539855e-11,1.7988086862447753e-11,1.8653590650759085e-11,1.8233045939450517e-11,3.754221783457453e-11,3.722102543476426e-11,3.904863796720491e-11,3.808107667775617e-11,3.9291933732695466e-11,3.7660088894832446e-11,3.9157440931463595e-11,3.821932799079077e-11,1.676914852505121e-10,1.6672305928796272e-10,1.7086628282077253e-10,1.6838410773534898e-10,1.708970280131484e-10,1.7011267857656989e-10,1.6756004422934814e-10,5.486546983306997e-10,5.547505932614665e-10,5.486637638922755e-10,5.531541755633341e-10,5.49665444609699e-10,5.532731619363661e-10,5.447728637882764e-10,1.1267181696955232e-09,1.128643856020181e-09,1.1230272108150773e-09,1.1237337855031589e-09,1.1155949334046555e-09,1.117442893235427e-09,1.1073565606248729e-09,1.1060127617563657e-09,1.088886872371523e-09,1.0769881719576047e-09,1.0640173917058118e-09,1.0614588662432289e-09,1.0526154952900719e-09,1.0462307318488448e-09,1.5501465812567691e-09,1.5315941592979902e-09,1.5296237499693779e-09,1.5104134217374107e-09,1.5067562493131158e-09,1.9451394324986363e-09,1.938486217839161e-09,1.9132793646604058e-09,1.903770443492551e-09,1.6056045516415409e-09,1.5859806460727015e-09,1.5832372660946279e-09,3.081128016236037e-09,LC_V24_H3p5_T8,3.081128016236037e-09
25,submerged,2.570628231679323e-10,3.836781376056412e-11,3.8219738869449525e-11,3.904880233822863e-11,3.861507075057576e-11,4.017881565651651e-11,3.411038126111732e-11,3.3805543451477734e-11,3.707302085926961e-11,3.4978479372941655e-11,3.454380504307536e-11,3.728420442883968e-11,3.6271203914652394e-11,2.7368466507813307e-11,2.6964136136508324e-11,3.029313376233206e-11,2.8919641333599458e-11,2.7492995549485745e-11,3.0373020034848414e-11,2.916074281010737e-11,3.548485496313853e-11,3.536047176432438e-11,3.7245966743848316e-11,3.6423746257883146e-11,3.9402734092691406e-11,3.716556161440828e-11,4.14415827451045e-11,3.9845671005076904e-11,2.777906851475042e-10,2.76101793673038e-10,2.8425483747787743e-10,2.783383154740913e-10,2.87554375257467e-10,2.898853718941827e-10,2.810364187136165e-10,9.556186786080417e-10,9.64450400129654e-10,9.562434759385138e-10,9.707852354337966e-10,9.775965739749236e-10,1.0012932995116565e-09,9.817968529108396e-10,1.9775702109565592e-09,2.0200640096530366e-09,1.996895643897144e-09,2.0414658909558763e-09,2.0487528229976683e-09,2.116370937348251e-09,2.0592945895456853e-09,2.120709126298234e-09,1.5542560728575982e-09,1.5473955406502312e-09,1.5391772395164618e-09,1.5619463342545081e-09,1.5243884211111804e-09,1.5465921927593632e-09,2.6749249479285044e-09,2.6498587434004443e-09,2.7047985363360913e-09,2.6627750058076345e-09,2.72081161963577e-09,3.3680373309996074e-09,3.439374701914518e-09,3.3641324478556397e-09,3.425022598608078e-09,2.398411913659853e-09,2.3578857313662867e-09,2.408263692105022e-09,4.218239175624363e-09,LC_V24_H3p5_T8,4.218239175624363e-09
