Vw_bin,Vw_representative_ms,Hs_bin,Hs_representative_m,Tp_bin,Tp_representative_s,Probability,NAME
17-19 m/s,18,1.75-2.25 m,2.0,5.5-7.5 s,7,0.02345,LC_V18_H2p0_T7
17-19 m/s,18,2.25-2.75 m,2.5,5.5-7.5 s,7,0.01171,LC_V18_H2p5_T7
17-19 m/s,18,2.75-3.25 m,3.0,7.5-9.5 s,8,0.00586,LC_V18_H3p0_T8
17-19 m/s,18,3.25-3.75 m,3.5,7.5-9.5 s,8,0.00301,LC_V18_H3p5_T8
19-21 m/s,20,1.75-2.25 m,2.0,5.5-7.5 s,7,0.00429,LC_V20_H2p0_T7
19-21 m/s,20,2.25-2.75 m,2.5,5.5-7.5 s,7,0.01726,LC_V20_H2p5_T7
19-21 m/s,20,2.75-3.25 m,3.0,7.5-9.5 s,8,0.00595,LC_V20_H3p0_T8
19-21 m/s,20,3.25-3.75 m,3.5,7.5-9.5 s,8,0.00401,LC_V20_H3p5_T8
21-23 m/s,22,2.25-2.75 m,2.5,5.5-7.5 s,7,0.00395,LC_V22_H2p5_T7
21-23 m/s,22,2.75-3.25 m,3.0,7.5-9.5 s,8,0.00412,LC_V22_H3p0_T8
21-23 m/s,22,3.25-3.75 m,3.5,7.5-9.5 s,8,0.01116,LC_V22_H3p5_T8
23-25 m/s,24,3.25-3.75 m,3.5,7.5-9.5 s,8,0.00979,LC_V24_H3p5_T8
