node,sub_joint_id,plane_id,family,type_label,brace_member,brace_end,chord_t_scenario,direction,treatment,environment,category,D_life,D_life_seed_std,D_life_min,D_life_max,life_years,worst_side,worst_position,worst_segment,n_bins_used
3,"(3, 1)",1,TY,T,33,2,single,,TY,seawater_cp,T,0.023024950675484646,0.0021120411517452035,0.011970923017491607,0.03869447820430503,1085.7786560480345,chord,7,,69
3,"(3, 0)",0,TY,T,36,2,single,,TY,seawater_cp,T,0.00339367167447925,0.00035436870255616904,0.0015956848560628363,0.005980932749057466,7366.652522105334,chord,7,,69
4,"(4, 0)",0,TY,Y,37,1,single,,TY,seawater_cp,T,0.018001223189003858,0.0019361160360046351,0.008359784351961079,0.03238392796807179,1388.794513434586,chord,7,,69
4,"(4, 1)",1,TY,Y,45,1,single,,TY,seawater_cp,T,0.18542121125498598,0.017172256949510297,0.09117490875278125,0.3128611430833359,134.82815601727847,chord,7,,69
5,"(5, 0)",0,K,K,40,2,thick,,K,seawater_cp,T,0.035801695408424775,0.003367902430912674,0.019992072613535944,0.061873464175074507,698.2909528389836,chord,3,,69
5,"(5, 0)",0,K,K,40,2,thin,,K,seawater_cp,T,2.7622949726352255,0.23503366786935195,1.5463147583342838,4.60724656589876,9.05044546207534,chord,3,,69
5,"(5, 0)",0,K,K,40,2,thick,,Y,seawater_cp,T,0.30884220808550045,0.034779915077949974,0.16958861034399564,0.5726209936226673,80.9474849793813,chord,3,,69
5,"(5, 0)",0,K,K,40,2,thin,,Y,seawater_cp,T,17.265536539143575,1.46735115730828,10.294672668213048,28.85094396399449,1.4479712196213093,chord,3,,69
5,"(5, 1)",1,K,K,48,2,thick,,K,seawater_cp,T,0.06168218813155503,0.005471602973189295,0.03168507367626686,0.10440097197949856,405.3033907727187,brace,5,b,69
5,"(5, 1)",1,K,K,48,2,thin,,K,seawater_cp,T,1.7807588268327328,0.1656112679871339,0.9265263525645098,3.0362699074876884,14.038958910828557,chord,3,,69
