node,sub_joint_id,plane_id,family,type_label,brace_member,brace_end,chord_t_scenario,direction,treatment,environment,category,D_life,D_life_seed_std,D_life_min,D_life_max,life_years,worst_side,worst_position,worst_segment,n_bins_used
3,"(3, 1)",1,TY,T,33,2,single,,TY,seawater_cp,T,0.128781700134097,0.011811135518527317,0.0669371592889968,0.21648539349050427,194.12696038309912,chord,7,,69
3,"(3, 0)",0,TY,T,36,2,single,,TY,seawater_cp,T,0.018439005803946282,0.0019360412006540503,0.008669988747815435,0.03259883908780055,1355.821472470579,chord,7,,69
4,"(4, 0)",0,TY,Y,37,1,single,,TY,seawater_cp,T,0.12083931604348083,0.010292420644676392,0.06171465778625999,0.199924037328453,206.88630835186464,chord,7,,69
4,"(4, 1)",1,TY,Y,45,1,single,,TY,seawater_cp,T,0.9499089645038519,0.08797709962520597,0.4667126969532266,1.60171372920473,26.31831147425562,chord,7,,69
5,"(5, 0)",0,K,K,40,2,thick,,K,seawater_cp,T,0.21038305770161406,0.019602941649870434,0.11740760942655708,0.36217533930450263,118.83086153951359,chord,3,,69
5,"(5, 0)",0,K,K,40,2,thin,,K,seawater_cp,T,2.7622949726352255,0.23503366786935195,1.5463147583342838,4.60724656589876,9.05044546207534,chord,3,,69
5,"(5, 0)",0,K,K,40,2,thick,,Y,seawater_cp,T,1.4576240797368736,0.1597549873667746,0.8041549306877487,2.673698385872629,17.151198548059753,chord,3,,69
5,"(5, 0)",0,K,K,40,2,thin,,Y,seawater_cp,T,17.265536539143575,1.46735115730828,10.294672668213048,28.85094396399449,1.4479712196213093,chord,3,,69
5,"(5, 1)",1,K,K,48,2,thick,,K,seawater_cp,T,0.4966427701471058,0.0441120269148983,0.25518555523341596,0.841150257694373,50.33799242178637,brace,5,b,69
5,"(5, 1)",1,K,K,48,2,thin,,K,seawater_cp,T,1.7807588268327328,0.1656112679871339,0.9265263525645098,3.0362699074876884,14.038958910828557,chord,3,,69
5,"(5, 1)",1,K,K,48,2,thick,,Y,seawater_cp,T,4.96229753205035,0.4357845866513367,2.655571551578574,8.353031894165298,5.037988923181388,chord,3,,69
5,"(5, 1)",1,K,K,48,2,thin,,Y,seawater_cp,T,46.82878250632182,3.276690342768275,27.612394917639964,72.82745016814846,0.5338597046939034,chord,3,,69
5,"(5, 0)",0,K,K,53,1,thick,,K,seawater_cp,T,0.13287053281094416,0.011622390525927472,0.07457551607379535,0.22414171311550457,188.15308007811964,brace,2,b,69
5,"(5, 0)",0,K,K,53,1,thin,,K,seawater_cp,T,1.1553062533511544,0.10031507617989645,0.6474314430818757,1.9318220910855943,21.639283893325615,chord,3,,69
5,"(5, 0)",0,K,K,53,1,thick,,Y,seawater_cp,T,0.3704492558737525,0.04419288511596366,0.20374318145143716,0.7038095784935414,67.48562617850119,chord,3,,69
5,"(5, 0)",0,K,K,53,1,thin,,Y,seawater_cp,T,4.769719853676972,0.4924708632283618,2.706552261332735,8.60175836887671,5.241397978694184,chord,3,,69
5,"(5, 1)",1,K,K,61,1,thick,,K,seawater_cp,T,0.23186489734732774,0.019830932589089335,0.11955897798203391,0.3836374520347982,107.82140930349898,brace,5,a,69
5,"(5, 1)",1,K,K,61,1,thin,,K,seawater_cp,T,1.5475680609384528,0.13907923242294404,0.709849623954081,2.586766691696254,16.154378363714667,chord,7,,69
5,"(5, 1)",1,K,K,61,1,thick,,Y,seawater_cp,T,2.5129784448699697,0.227903293117935,1.2413652777815014,4.2469072495751945,9.94835433269846,chord,7,,69
5,"(5, 1)",1,K,K,61,1,thin,,Y,seawater_cp,T,26.026590470072907,1.983716164668398,13.87158143685961,41.376678168545425,0.9605560908466536,chord,7,,69
8,"(8, 0)",0,TY,T,33,1,single,,TY,seawater_cp,T,0.1283350336916958,0.011343299816457755,0.06863185655647694,0.21574739028574208,194.8026137590649,chord,3,,69
8,"(8, 1)",1,TY,T,34,2,single,,TY,seawater_cp,T,0.023373527334775945,0.00243940731061899,0.011862138516181196,0.04069855486538708,1069.5861023425477,chord,3,,69
9,"(9, 1)",1,TY,Y,41,1,single,,TY,seawater_cp,T,0.13807985667128617,0.012673778236462947,0.07505309708616764,0.23151533292309237,181.05464911884408,chord,7,,69
9,"(9, 0)",0,TY,Y,47,1,single,,TY,seawater_cp,T,1.001041962367171,0.08917761054710363,0.5261565891939612,1.696847732528012,24.973978054708443,chord,7,,69
10,"(10, 1)",1,K,K,44,2,thick,,K,seawater_cp,T,0.1923378317072582,0.016813712406827167,0.09933089241833573,0.31644499559671485,129.97962895854243,chord,3,,69
10,"(10, 1)",1,K,K,44,2,thin,,K,seawater_cp,T,2.5677293908351495,0.21628702710916828,1.3362338354276915,4.166728694086498,9.736228470660139,chord,3,,69
10,"(10, 1)",1,K,K,44,2,thick,,Y,seawater_cp,T,1.3062839715364603,0.12647665943736852,0.6525434341965767,2.26625351787306,19.138258253750774,chord,3,,69
10,"(10, 1)",1,K,K,44,2,thin,,Y,seawater_cp,T,15.767193035953339,1.298998127860397,8.41317220822159,25.919659465018345,1.5855707444561271,chord,3,,69
10,"(10, 0)",0,K,K,46,2,thick,,K,seawater_cp,T,0.38547278965626225,0.03573647002670704,0.1937783544241605,0.6555360545347892,64.85542085160733,brace,1,a,69
10,"(10, 0)",0,K,K,46,2,thin,,K,seawater_cp,T,1.5662809103057065,0.13956169660454454,0.7905828006342275,2.5606825388025483,15.961376937883067,chord,7,,69
10,"(10, 0)",0,K,K,46,2,thick,,Y,seawater_cp,T,4.57652579874149,0.40813927858616145,2.324259639461608,7.6502482513269205,5.462659034255813,chord,7,,69
10,"(10, 0)",0,K,K,46,2,thin,,Y,seawater_cp,T,43.63676494826239,3.1432248562571186,24.61933384237474,68.02003558053434,0.5729113977546472,chord,7,,69
10,"(10, 1)",1,K,K,57,1,thick,,K,seawater_cp,T,0.09570962025825339,0.008409006221418085,0.04705777611887933,0.1545692038976683,261.20676200096153,brace,4,a,69
