node,sub_joint_id,plane_id,family,type_label,brace_member,brace_end,chord_t_scenario,direction,treatment,environment,category,D_life,D_life_seed_std,D_life_min,D_life_max,life_years,worst_side,worst_position,worst_segment,n_bins_used
3,"(3, 1)",1,TY,T,33,2,single,,TY,seawater_cp,T,0.05974106191774423,0.005479540077818666,0.031055890649517703,0.1004122409943235,418.47264172206695,chord,7,,69
3,"(3, 0)",0,TY,T,36,2,single,,TY,seawater_cp,T,0.008675837093150295,0.0009084449448970615,0.004079330775195633,0.01531455678368309,2881.5663239847922,chord,7,,69
4,"(4, 0)",0,TY,Y,37,1,single,,TY,seawater_cp,T,0.04813555272145196,0.0046792500831096245,0.023670246452483414,0.08339396915120616,519.3666341522774,chord,7,,69
4,"(4, 1)",1,TY,Y,45,1,single,,TY,seawater_cp,T,0.4591035779184835,0.04251964110237963,0.22565121651686737,0.7743672645876588,54.453942862625425,chord,7,,69
5,"(5, 0)",0,K,K,40,2,thick,,K,seawater_cp,T,0.09523313952871273,0.008909608280617258,0.0531608431590755,0.16421646694306874,262.5136598847769,chord,3,,69
5,"(5, 0)",0,K,K,40,2,thin,,K,seawater_cp,T,2.7622949726352255,0.23503366786935195,1.5463147583342836,4.60724656589876,9.05044546207534,chord,3,,69
5,"(5, 0)",0,K,K,40,2,thick,,Y,seawater_cp,T,0.729517042163845,0.08158849262340986,0.4011250629169621,1.3485641806624895,34.26924739941189,chord,3,,69
5,"(5, 0)",0,K,K,40,2,thin,,Y,seawater_cp,T,17.265536539143575,1.46735115730828,10.294672668213048,28.85094396399448,1.4479712196213093,chord,3,,69
5,"(5, 1)",1,K,K,48,2,thick,,K,seawater_cp,T,0.18424056051850526,0.01635358939452584,0.09465349243712008,0.3119381106269648,135.69216208224128,brace,5,b,69
5,"(5, 1)",1,K,K,48,2,thin,,K,seawater_cp,T,1.780758826832733,0.1656112679871339,0.9265263525645098,3.0362699074876884,14.038958910828555,chord,3,,69
5,"(5, 1)",1,K,K,48,2,thick,,Y,seawater_cp,T,2.6039955975341966,0.23359589841638853,1.3839614430227785,4.4159957268137076,9.60063067067904,chord,3,,69
5,"(5, 1)",1,K,K,48,2,thin,,Y,seawater_cp,T,46.82878250632182,3.276690342768275,27.612394917639964,72.82745016814847,0.5338597046939034,chord,3,,69
5,"(5, 0)",0,K,K,53,1,thick,,K,seawater_cp,T,0.04861052351320823,0.0042553799550373046,0.027244354088728297,0.08193659632247036,514.2919309068358,brace,2,b,69
