node,family,S1_K,S2_K,S3_K,S4_K,S5_K
39,X,74.16205876368302,1.835813178309445,1.835813178309445,0.9789057209003794,0.9789057209003794
47,X,62.72645669967543,16.825249034125637,30.728849427941768,3.951748811995552,6.23072329401098
40,X,62.41474506137455,1.51634688655979,1.51634688655979,0.8080636714443516,0.8080636714443516
43,X,62.0954371895602,8.859598899752024,8.859598899752024,0.8218344119200667,0.8218344119200667
48,X,54.87796517653845,14.724735643425303,26.892837904930484,3.459964159485201,5.455396744916703
44,X,52.61482762227097,7.466442105538171,7.466442105538171,0.6915774808414857,0.6915774808414857
46,X,18.83109108036074,5.061936246176092,9.245499823779337,1.1927743349664408,1.880581714172073
45,X,18.318723381036644,4.924290077745388,8.994085604655353,1.160429734849012,1.8295488294844429
51,X,15.699065116829484,0.543084252058391,0.543084252058391,0.2943095833412641,0.2943095833412641
52,X,13.26245177781338,0.4634761495845674,0.4634761495845674,0.2519661755449731,0.2519661755449731
38,X,10.836068498683431,0.2154189147950625,0.2154189147950625,0.1147658961189029,0.1147658961189029
42,X,10.465864404653006,1.299637655909145,1.299637655909145,0.1186946191636436,0.1186946191636436
