member_id,member_class,power_p,power_A,power_R2,fatigue_life_years,static_life_years,static_governing_mode,t_at_failure_mm,D_at_failure_mm,governing_life_years,governing_mechanism
18,leg,1.1857648410455248,0.0019507827477375,0.9981942036033828,192.87171655840297,35.90000000000024,compression,13.459999999999855,1178.4599999999998,35.90000000000024,static:compression
19,leg,1.1854492574689897,0.0013229594640919,0.9982003755441728,268.0119074206776,38.70000000000028,compression,11.77999999999984,1176.7799999999995,38.70000000000028,static:compression
22,leg,1.1857582342086512,0.0024221228007079,0.99819373880844,160.70073377564614,44.00000000000036,compression,8.599999999999792,1173.5999999999997,44.00000000000036,static:compression
23,leg,1.1854745887895672,0.001601059379391,0.9982007087793264,228.14207462414484,45.90000000000038,compression,7.459999999999773,1172.4599999999996,45.90000000000038,static:compression
26,leg,1.185744464176426,0.0019354139183067,0.9981944351338248,194.1801226135745,44.10000000000036,compression,8.539999999999791,1173.5399999999995,44.10000000000036,static:compression
27,leg,1.1854827040234974,0.0012990693825282,0.9982007656996272,272.1206534988804,46.000000000000384,compression,7.399999999999775,1172.3999999999996,46.000000000000384,static:compression
30,leg,1.1857839044678156,0.0024350369731793,0.9981951762296546,159.96410082850232,34.50000000000022,compression,14.299999999999873,1179.2999999999995,34.50000000000022,static:compression
31,leg,1.1854384740968054,0.0016236419318663,0.9981990962595086,225.49968907218687,37.20000000000026,compression,12.67999999999985,1177.6799999999998,37.20000000000026,static:compression
69,brace,1.1632881636052337,0.0005111080745976,0.9986080869176406,675.2561318244287,59.60000000000058,compression,2.119999999999827,764.2399999999997,59.60000000000058,static:compression
70,brace,1.1633011473174129,0.0005990733075016,0.998606629113356,589.0486523964913,60.200000000000585,tension,1.939999999999824,763.8799999999997,60.200000000000585,static:tension
71,brace,1.1632323489775784,0.0005880250743754,0.9986053551305898,598.7764509951187,59.00000000000057,compression,2.29999999999983,764.5999999999997,59.00000000000057,static:compression
72,brace,1.1633233308031914,0.0006158758551793,0.9986078939744362,575.137536964219,59.80000000000058,compression,2.059999999999829,764.1199999999997,59.80000000000058,static:compression
73,brace,1.1633179866096992,0.0005640797080508,0.998607441460379,620.2700941189969,58.800000000000566,compression,2.3599999999998342,764.7199999999997,58.800000000000566,static:compression
74,brace,1.163341519793091,0.0006400292925602,0.998608165520534,556.3750267808414,59.60000000000058,compression,2.119999999999827,764.2399999999997,59.60000000000058,static:compression
75,brace,1.163234059025548,0.0005661016612763,0.9986061065331724,618.6520238488481,59.80000000000058,compression,2.059999999999829,764.1199999999997,59.80000000000058,static:compression
76,brace,1.1633506178051356,0.0006077377003776,0.998607225317794,581.6648366716914,59.90000000000058,tension,2.029999999999827,764.0599999999997,59.90000000000058,static:tension
77,brace,1.1631684023104816,0.0014415265025319,0.9986062346772652,277.08888872081707,56.80000000000054,compression,2.959999999999841,765.9199999999997,56.80000000000054,static:compression
78,brace,1.163231499031048,0.001398612536423,0.9986080707380882,284.29552522026074,58.00000000000056,compression,2.599999999999835,765.1999999999997,58.00000000000056,static:compression
79,brace,1.1632242308222642,0.0014975952783021,0.9986082364405118,268.07444494553073,58.50000000000056,tension,2.449999999999834,764.8999999999996,58.50000000000056,static:tension
80,brace,1.163224030921457,0.0013191884945766,0.9986077272049346,298.9603039033842,58.60000000000056,tension,2.419999999999832,764.8399999999997,58.60000000000056,static:tension
81,brace,1.16319971187672,0.0012920517229098,0.9986067271886108,304.3867446100558,57.60000000000055,compression,2.719999999999837,765.4399999999997,57.60000000000055,static:compression
82,brace,1.1631873677472542,0.0011824516091056,0.998606730891559,328.5094070929553,58.70000000000056,compression,2.3899999999998296,764.7799999999996,58.70000000000056,static:compression
83,brace,1.1631997274086718,0.001233632371803,0.9986073666916456,316.7383051023184,58.800000000000566,compression,2.3599999999998342,764.7199999999997,58.800000000000566,static:compression
84,brace,1.1632337455274344,0.0012235072557277,0.9986072087377088,318.9366317354581,59.00000000000057,tension,2.29999999999983,764.5999999999997,59.00000000000057,static:tension
85,brace,1.1632331736632395,0.00074688359646,0.99860508583025,487.5056266315716,57.10000000000054,compression,2.869999999999838,765.7399999999998,57.10000000000054,static:compression
87,brace,1.1632590013467383,0.0007114049950205,0.9986038848902964,508.2642967583173,56.700000000000536,compression,2.98999999999984,765.9799999999998,56.700000000000536,static:compression
89,brace,1.1633252030865124,0.0007861199016584,0.9986070367363308,466.28659193146973,58.50000000000056,compression,2.449999999999834,764.8999999999996,58.50000000000056,static:compression
91,brace,1.16330729314557,0.0006756328214905,0.9986062108407128,531.1754778565863,59.500000000000576,compression,2.149999999999829,764.2999999999997,59.500000000000576,static:compression
93,brace,1.1631958298474043,0.0012860630320367,0.9986077365912064,305.61072724609323,56.700000000000536,compression,2.98999999999984,765.9799999999998,56.700000000000536,static:compression
95,brace,1.1631886595228915,0.0013641544522237,0.9986069169077016,290.51886380423446,58.00000000000056,compression,2.599999999999835,765.1999999999997,58.00000000000056,static:compression
97,brace,1.1632567895593235,0.0011952354747028,0.9986072468021292,325.3740782074405,56.20000000000053,compression,3.1399999999998407,766.2799999999997,56.20000000000053,static:compression
99,brace,1.163191442915219,0.0011382981892163,0.9986070671290744,339.42795076672826,57.60000000000055,compression,2.719999999999837,765.4399999999997,57.60000000000055,static:compression
