case_dir,case_id,mode,laptop,v_hub,hs,tp,tmax_case_json,n_chan,n_t,dt,duration_s,size_consistent,duration_ok,log_ok,log_tail,status,subdyn_md5,subdyn_md5_matches_known,rotspeed_mean,bldpitch_mean,mode_check_ok,wind1velx_mean,wind_rel_diff,wave_hs_estimate,wave_hs_rel_diff,env_check_ok,any_nan,any_inf,force_elastic_scale_max,moment_elastic_scale_max,force_inertial_max,moment_inertial_max,inertial_force_ratio_max,inertial_moment_ratio_max
LC_V20_H3p5_T8/S100001,LC65_S1,operating,redacted,20.0,3.5,8.0,700.0,2767,14001,0.05,700.0,True,True,True, OpenFAST terminated normally.,OK,58258b464559f579f7b711007749cb08,True,12.093240116206601,17.035743095022315,True,20.041099036278574,0.002054951813928696,3.5217697655903955,0.006219933025827272,True,False,False,953582.1405325349,687776.3806623601,713.1627068820512,921.9943234834236,0.0007478775834494764,0.0013405437427140212
LC_V20_H3p5_T8/S200002,LC65_S2,operating,redacted,20.0,3.5,8.0,700.0,2767,14001,0.05,700.0,True,True,True, OpenFAST terminated normally.,OK,58258b464559f579f7b711007749cb08,True,12.10130999508801,16.946291870201236,True,19.984274138487702,0.0007862930756148856,3.486636362721318,0.003818182079623383,True,False,False,808745.7117487151,599829.6333347094,593.4903514956173,766.9703713884285,0.000733840492597283,0.0012786470170280055
LC_V20_H3p5_T8/S300003,LC65_S3,operating,redacted,20.0,3.5,8.0,700.0,2767,14001,0.05,700.0,True,True,True, OpenFAST terminated normally.,OK,58258b464559f579f7b711007749cb08,True,12.094001134651815,16.97560951056813,True,20.01587472621233,0.0007937363106165663,3.5276026541575596,0.007886472616445594,True,False,False,831964.6844844789,600884.2293481685,558.0038185457554,720.6982365353257,0.0006707061356715141,0.0011993961587527932
LC_V20_H3p5_T8/S400004,LC65_S4,operating,redacted,20.0,3.5,8.0,700.0,2767,14001,0.05,700.0,True,True,True, OpenFAST terminated normally.,OK,58258b464559f579f7b711007749cb08,True,12.102246675837048,16.951980284476292,True,19.974209451768175,0.0012895274115912515,3.517161008507109,0.004903145287745428,True,False,False,745838.8290819237,544910.5757126027,523.2320456146756,676.3541298136906,0.0007015350035593323,0.0012412204129626106
LC_V20_H3p5_T8/S500005,LC65_S5,operating,redacted,20.0,3.5,8.0,700.0,2767,14001,0.05,700.0,True,True,True, OpenFAST terminated normally.,OK,58258b464559f579f7b711007749cb08,True,12.099367047091171,16.980238001784436,True,19.9769259164599,0.0011537041770049328,3.449460682345147,0.014439805044243772,True,False,False,898304.008702095,648155.0790616174,585.827998708547,755.6266393308304,0.0006521489306888148,0.001165811491325205
LC_V20_H3p5_T8/S600006,LC65_S6,operating,redacted,20.0,3.5,8.0,700.0,2767,14001,0.05,700.0,True,True,True, OpenFAST terminated normally.,OK,58258b464559f579f7b711007749cb08,True,12.097414419633774,17.020009005075348,True,20.010303157696445,0.0005151578848222371,3.504311521515787,0.0012318632902248439,True,False,False,923528.2428566057,625074.9520203325,608.5346209070742,786.5204365350498,0.0006589236719223541,0.0012582818012350395
