node,family,D_S1-K,life_years_S1-K,D_S1-Y,life_years_S1-Y,D_S2-K,life_years_S2-K,D_S2-Y,life_years_S2-Y,D_S3-K_5,life_years_S3-K_5,D_S3-K_10,life_years_S3-K_10,D_S3-K_15,life_years_S3-K_15,D_S3-K_20,life_years_S3-K_20,D_S3-K_25,life_years_S3-K_25,D_S3-Y_5,life_years_S3-Y_5,D_S3-Y_10,life_years_S3-Y_10,D_S3-Y_15,life_years_S3-Y_15,D_S3-Y_20,life_years_S3-Y_20,D_S3-Y_25,life_years_S3-Y_25,D_S4-K,life_years_S4-K,D_S4-Y,life_years_S4-Y,D_S5-K_5,life_years_S5-K_5,D_S5-K_10,life_years_S5-K_10,D_S5-K_15,life_years_S5-K_15,D_S5-K_20,life_years_S5-K_20,D_S5-K_25,life_years_S5-K_25,D_S5-Y_5,life_years_S5-Y_5,D_S5-Y_10,life_years_S5-Y_10,D_S5-Y_15,life_years_S5-Y_15,D_S5-Y_20,life_years_S5-Y_20,D_S5-Y_25,life_years_S5-Y_25
3,TY,0.12878198430448717,194.12653202245247,0.12878198430448717,194.12653202245247,0.05974122442562202,418.47150339419414,0.05974122442562202,418.47150339419414,,,,,,,,,,,,,,,,,,,,,0.023025026034681206,1085.7751023753028,0.023025026034681206,1085.7751023753028,,,,,,,,,,,,,,,,,,,,
4,TY,0.9499089645038493,26.31831147425569,0.9499089645038493,26.31831147425569,0.45910357791848144,54.45394286262567,0.45910357791848144,54.45394286262567,,,,,,,,,,,,,,,,,,,,,0.18542121125498368,134.82815601728015,0.18542121125498368,134.82815601728015,,,,,,,,,,,,,,,,,,,,
5,K,0.49681563339902346,50.32047769704732,4.962561479771403,5.037720963640657,0.18435577474664075,135.607360465694,2.604105911039748,9.60022397476844,,,,,,,,,,,,,,,,,,,,,0.061746111639846696,404.8837948828298,1.1627573771524162,21.500616114106972,,,,,,,,,,,,,,,,,,,,
8,TY,0.1283356608573465,194.8016617749695,0.1283356608573465,194.8016617749695,0.05955785306273787,419.75992609513906,0.05955785306273787,419.75992609513906,,,,,,,,,,,,,,,,,,,,,0.022963815861323362,1088.6692416875744,0.022963815861323362,1088.6692416875744,,,,,,,,,,,,,,,,,,,,
9,TY,1.0010419623671678,24.973978054708518,1.0010419623671678,24.973978054708518,0.48373556643357984,51.68112856434481,0.48373556643357984,51.68112856434481,,,,,,,,,,,,,,,,,,,,,0.19531196318163763,128.00035181024893,0.19531196318163763,128.00035181024893,,,,,,,,,,,,,,,,,,,,
10,K,0.3858274452469369,64.79580524397254,4.5767817632887615,5.4623535254684334,0.14005070721470067,178.50677441902863,2.4053590490535193,10.39345872701924,,,,,,,,,,,,,,,,,,,,,0.04581825472177555,545.6340524493727,1.0748187952541262,23.259734673777352,,,,,,,,,,,,,,,,,,,,
13,TY,0.10489936672861565,238.3236503674737,0.10489936672861565,238.3236503674737,0.0486708991268408,513.6539584947408,0.0486708991268408,513.6539584947408,,,,,,,,,,,,,,,,,,,,,0.01876189713317321,1332.4878514442496,0.01876189713317321,1332.4878514442496,,,,,,,,,,,,,,,,,,,,
14,TY,0.7697062608194993,32.479922890821655,0.7697062608194993,32.479922890821655,0.371869719650338,67.22784534193056,0.371869719650338,67.22784534193056,,,,,,,,,,,,,,,,,,,,,0.1501237322160153,166.52929973807954,0.1501237322160153,166.52929973807954,,,,,,,,,,,,,,,,,,,,
15,K,0.41873826124115454,59.703166187630295,4.028029420410974,6.206508788967407,0.15563998117768338,160.62710757757824,2.1106703397888356,11.844578250197591,,,,,,,,,,,,,,,,,,,,,0.05220557912513965,478.87602089565223,0.9392771575181256,26.616212051891154,,,,,,,,,,,,,,,,,,,,
18,TY,0.10506432702704571,237.9494611293183,0.10506432702704571,237.9494611293183,0.04876998828437513,512.610334335665,0.04876998828437513,512.610334335665,,,,,,,,,,,,,,,,,,,,,0.018809017907888234,1329.1496729085125,0.018809017907888234,1329.1496729085125,,,,,,,,,,,,,,,,,,,,
