member_id,member_class,year,D_fatigue,t_mm,past_static_cutoff
18,leg,0.0,0.0,35.0,False
18,leg,1.0,0.0019507827477375,34.4,False
18,leg,2.0,0.004437717898603162,33.800000000000004,False
18,leg,3.0,0.007177323392312467,33.2,False
18,leg,4.0,0.010095096530058521,32.6,False
18,leg,5.0,0.01315294373227231,32.0,False
18,leg,6.0,0.016327259670031746,31.400000000000006,False
18,leg,7.0,0.019601822364838335,30.8,False
18,leg,8.0,0.022964725626943887,30.200000000000003,False
18,leg,9.0,0.026406821127355755,29.600000000000005,False
18,leg,10.0,0.029920837616449602,29.000000000000004,False
18,leg,11.0,0.03350084318186917,28.400000000000002,False
18,leg,12.0,0.03714189730090395,27.800000000000004,False
18,leg,13.0,0.04083981519829365,27.200000000000003,False
18,leg,14.0,0.04459100228078703,26.6,False
18,leg,15.0,0.048392334224246825,26.000000000000004,False
18,leg,16.0,0.05224106788385074,25.400000000000006,False
18,leg,17.0,0.05613477365183532,24.800000000000004,False
18,leg,18.0,0.060071283128780004,24.200000000000006,False
18,leg,19.0,0.06404864797548825,23.6,False
18,leg,20.0,0.06806510708879011,23.000000000000004,False
18,leg,21.0,0.07211906008205025,22.400000000000002,False
18,leg,22.0,0.07620904561458804,21.800000000000004,False
18,leg,23.0,0.08033372350175914,21.200000000000003,False
18,leg,24.0,0.08449185980933283,20.60000000000001,False
18,leg,25.0,0.08868231432996071,20.000000000000004,False
18,leg,26.0,0.09290402998043146,19.400000000000006,False
18,leg,27.0,0.09715602376215242,18.800000000000004,False
18,leg,28.0,0.10143737900471238,18.2,False
18,leg,29.0,0.10574723867085092,17.600000000000005,False
18,leg,30.0,0.11008479954581994,17.000000000000004,False
18,leg,31.0,0.11444930716859006,16.400000000000006,False
18,leg,32.0,0.11884005138920921,15.800000000000004,False
18,leg,33.0,0.12325636245773072,15.200000000000001,False
18,leg,34.0,0.12769760756686138,14.600000000000005,False
18,leg,35.0,0.13216318778384462,14.000000000000002,False
18,leg,36.0,0.1366525353178469,13.400000000000006,True
18,leg,37.0,0.14116511107782553,12.800000000000002,True
18,leg,38.0,0.14570040248295435,12.200000000000003,True
18,leg,39.0,0.15025792149350803,11.600000000000007,True
18,leg,40.0,0.15483720283490515,11.000000000000004,True
18,leg,41.0,0.15943780239159142,10.400000000000006,True
18,leg,42.0,0.1640592957507623,9.800000000000002,True
18,leg,43.0,0.16870127687870007,9.200000000000003,True
18,leg,44.0,0.17336335691483673,8.600000000000003,True
18,leg,45.0,0.17804516307062745,8.000000000000004,True
18,leg,46.0,0.1827463376219918,7.400000000000004,True
18,leg,47.0,0.18746653698550542,6.800000000000004,True
18,leg,48.0,0.192205430869742,6.200000000000007,True
18,leg,49.0,0.1969627014942102,5.600000000000004,True
18,leg,50.0,0.20173804286922808,5.000000000000004,True
18,leg,51.0,0.20653116013085512,4.400000000000005,True
18,leg,52.0,0.21134176892567164,3.8000000000000047,True
18,leg,53.0,0.2161695948407814,3.200000000000008,True
18,leg,54.0,0.22101437287492054,2.600000000000005,True
18,leg,55.0,0.22587584694699997,2.0000000000000018,True
18,leg,56.0,0.23075376943879844,1.3999999999999986,True
18,leg,57.0,0.235647900768864,0.800000000000009,True
19,leg,0.0,0.0,35.0,False
19,leg,1.0,0.0013229594640919,34.4,False
19,leg,2.0,0.003008862365893231,33.800000000000004,False
19,leg,3.0,0.0048657475719158134,33.2,False
19,leg,4.0,0.006843182261145773,32.6,False
19,leg,5.0,0.008915383105389437,32.0,False
19,leg,6.0,0.011066374404088966,31.400000000000006,False
19,leg,7.0,0.013285178118029027,30.8,False
19,leg,8.0,0.015563737308189628,30.200000000000003,False
19,leg,9.0,0.017895861571129743,29.600000000000005,False
19,leg,10.0,0.020276630865436084,29.000000000000004,False
19,leg,11.0,0.022702031546066963,28.400000000000002,False
19,leg,12.0,0.02516872086795428,27.800000000000004,False
19,leg,13.0,0.02767386750490553,27.200000000000003,False
19,leg,14.0,0.030215039499312302,26.6,False
19,leg,15.0,0.03279012311047991,26.000000000000004,False
19,leg,16.0,0.03539726252414275,25.400000000000006,False
19,leg,17.0,0.038034814077406616,24.800000000000004,False
19,leg,18.0,0.040701310847470334,24.200000000000006,False
19,leg,19.0,0.04339543480690805,23.6,False
19,leg,20.0,0.0461159946121234,23.000000000000004,False
19,leg,21.0,0.04886190765840308,22.400000000000002,False
19,leg,22.0,0.05163218541633018,21.800000000000004,False
19,leg,23.0,0.05442592132660792,21.200000000000003,False
19,leg,24.0,0.05724228071435353,20.60000000000001,False
19,leg,25.0,0.06008049231532767,20.000000000000004,False
19,leg,26.0,0.06293984110192032,19.400000000000006,False
19,leg,27.0,0.06581966216692581,18.800000000000004,False
