member_id,zone,member_class,power_p,power_A,power_R2,n_points_fitted
18,splash,leg,1.1857648410455248,0.0019507827477375165,0.9981942036033828,5
19,splash,leg,1.1854492574689897,0.0013229594640919136,0.9982003755441728,5
22,splash,leg,1.1857582342086512,0.0024221228007079293,0.9981937388084401,5
23,splash,leg,1.1854745887895672,0.001601059379391015,0.9982007087793264,5
26,splash,leg,1.1857444641764259,0.001935413918306723,0.9981944351338249,5
27,splash,leg,1.1854827040234974,0.001299069382528216,0.9982007656996273,5
30,splash,leg,1.1857839044678156,0.0024350369731793676,0.9981951762296546,5
31,splash,leg,1.1854384740968054,0.0016236419318663023,0.9981990962595086,5
69,splash,brace,1.1632881636052337,0.0005111080745976402,0.9986080869176406,5
70,splash,brace,1.1633011473174129,0.0005990733075016817,0.9986066291133561,5
71,splash,brace,1.1632323489775784,0.0005880250743754134,0.9986053551305898,5
72,splash,brace,1.1633233308031914,0.0006158758551793623,0.9986078939744362,5
73,splash,brace,1.1633179866096992,0.0005640797080508423,0.998607441460379,5
74,splash,brace,1.163341519793091,0.0006400292925602661,0.9986081655205339,5
75,splash,brace,1.163234059025548,0.0005661016612763671,0.9986061065331725,5
76,splash,brace,1.1633506178051356,0.0006077377003776957,0.9986072253177941,5
77,splash,brace,1.1631684023104816,0.0014415265025319863,0.9986062346772651,5
78,splash,brace,1.163231499031048,0.0013986125364230711,0.9986080707380882,5
79,splash,brace,1.1632242308222642,0.001497595278302181,0.9986082364405118,5
80,splash,brace,1.163224030921457,0.0013191884945766112,0.9986077272049346,5
81,splash,brace,1.16319971187672,0.0012920517229098724,0.9986067271886109,5
82,splash,brace,1.1631873677472542,0.001182451609105687,0.998606730891559,5
83,splash,brace,1.1631997274086718,0.0012336323718030449,0.9986073666916456,5
84,splash,brace,1.1632337455274344,0.0012235072557277233,0.9986072087377087,5
85,splash,brace,1.1632331736632395,0.0007468835964600823,0.9986050858302499,5
87,splash,brace,1.1632590013467385,0.0007114049950205278,0.9986038848902965,5
89,splash,brace,1.1633252030865124,0.0007861199016584063,0.9986070367363307,5
91,splash,brace,1.1633072931455701,0.0006756328214905037,0.9986062108407128,5
93,splash,brace,1.1631958298474045,0.0012860630320367808,0.9986077365912065,5
95,splash,brace,1.1631886595228915,0.0013641544522237546,0.9986069169077016,5
97,splash,brace,1.1632567895593235,0.0011952354747028116,0.9986072468021293,5
99,splash,brace,1.163191442915219,0.0011382981892163755,0.9986070671290745,5
