member_id,member_class,L_m,D0_mm,t0_mm,max_tensile_N,max_compressive_N,static_life_years,governing_mode,t_at_failure_mm,D_at_failure_mm
18,leg,13.314219841958447,1200.0,35.0,0.0,-8132980.182529347,35.90000000000024,compression,13.459999999999857,1178.4599999999998
19,leg,11.285072042304382,1200.0,35.0,0.0,-7035297.708470829,38.70000000000028,compression,11.77999999999984,1176.7799999999997
22,leg,13.314219841958447,1200.0,35.0,2070507.7493527045,-4167892.492023353,44.000000000000355,compression,8.599999999999792,1173.5999999999997
23,leg,11.285072042304382,1200.0,35.0,2076762.7348040896,-3556827.012225724,45.90000000000038,compression,7.459999999999773,1172.4599999999996
26,leg,13.314219841958447,1200.0,35.0,1334164.1582234062,-4139436.5494909766,44.10000000000036,compression,8.539999999999791,1173.5399999999997
27,leg,11.285072042304382,1200.0,35.0,1273301.574358496,-3525469.1034109904,46.000000000000384,compression,7.399999999999775,1172.3999999999996
30,leg,13.314219841958447,1200.0,35.0,0.0,-8868633.286015613,34.50000000000022,compression,14.299999999999871,1179.2999999999997
31,leg,11.285072042304382,1200.0,35.0,0.0,-7832940.113870508,37.20000000000026,compression,12.67999999999985,1177.6799999999998
69,brace,8.472406977949065,800.0,20.0,395649.20552641206,-421275.7964564801,59.60000000000058,compression,2.119999999999827,764.2399999999997
70,brace,7.708175529916272,800.0,20.0,432137.5777028486,-346470.2279271852,60.200000000000585,tension,1.9399999999998239,763.8799999999997
71,brace,8.472406977949065,800.0,20.0,340397.70952066977,-477338.57606856746,59.00000000000057,compression,2.29999999999983,764.5999999999997
72,brace,7.708175529916272,800.0,20.0,384184.91674942337,-410996.0722985171,59.80000000000058,compression,2.0599999999998295,764.1199999999997
73,brace,8.472406977949065,800.0,20.0,341544.8315324601,-489274.8889180399,58.800000000000566,compression,2.3599999999998342,764.7199999999997
74,brace,7.708175529916272,800.0,20.0,369574.0908814176,-432220.935678549,59.60000000000058,compression,2.119999999999827,764.2399999999997
75,brace,8.472406977949065,800.0,20.0,429845.87926275656,-401184.18556106417,59.80000000000058,compression,2.0599999999998295,764.1199999999997
76,brace,7.708175529916272,800.0,20.0,468352.66001367406,-335974.9213043111,59.90000000000058,tension,2.029999999999827,764.0599999999997
77,brace,8.472406977949065,800.0,20.0,423698.2820712399,-687522.1686329895,56.80000000000054,compression,2.9599999999998414,765.9199999999997
78,brace,7.708175529916272,800.0,20.0,461935.2933137942,-584930.9320612606,58.000000000000554,compression,2.599999999999835,765.1999999999997
79,brace,8.472406977949065,800.0,20.0,621565.1496312558,-481892.45590228745,58.50000000000056,tension,2.449999999999834,764.8999999999996
80,brace,7.708175529916272,800.0,20.0,609077.0584327896,-427938.8273032537,58.60000000000056,tension,2.419999999999832,764.8399999999997
81,brace,8.472406977949065,800.0,20.0,426591.4148123262,-607001.3582574694,57.60000000000055,compression,2.719999999999837,765.4399999999997
82,brace,7.708175529916272,800.0,20.0,478585.44762520376,-519016.3727081228,58.700000000000564,compression,2.3899999999998296,764.7799999999996
83,brace,8.472406977949065,800.0,20.0,538240.960968043,-496323.9767624197,58.800000000000566,compression,2.3599999999998342,764.7199999999997
84,brace,7.708175529916272,800.0,20.0,561697.1637879513,-443803.72951099055,59.00000000000057,tension,2.29999999999983,764.5999999999997
85,brace,7.340745534344587,800.0,20.0,154470.458999147,-690124.5631922554,57.10000000000054,compression,2.869999999999838,765.7399999999998
87,brace,7.340745534344587,800.0,20.0,105381.87537378902,-730666.4559188596,56.700000000000536,compression,2.98999999999984,765.9799999999998
89,brace,7.340745534344587,800.0,20.0,326331.7821248183,-541182.2591895009,58.50000000000056,compression,2.449999999999834,764.8999999999996
91,brace,7.340745534344587,800.0,20.0,350187.1550321434,-449151.2425509128,59.500000000000576,compression,2.149999999999829,764.2999999999997
93,brace,7.340745534344587,800.0,20.0,249446.29943594133,-733824.4941967223,56.700000000000536,compression,2.98999999999984,765.9799999999998
95,brace,7.340745534344587,800.0,20.0,430311.8248773477,-594793.7123759077,58.000000000000554,compression,2.599999999999835,765.1999999999997
97,brace,7.340745534344587,800.0,20.0,200518.9824700756,-788891.448608263,56.20000000000053,compression,3.1399999999998407,766.2799999999997
99,brace,7.340745534344587,800.0,20.0,333092.33250388457,-642135.8875643364,57.60000000000055,compression,2.719999999999837,765.4399999999997
