rank,bin,Vw_m_s,Hs_m,Tp_s,probability,D_raw,D_weighted,D_weighted_pct,D_raw_pct
45,LC_V4_H1p0_T7,4.0,1.0,7.0,0.02984,1.505511060842942e-07,0.005907115937804146,0.48229617592735097,0.18883000038287284
46,LC_V26_H3p5_T8,26.0,3.5,8.0,0.00895,4.0818397154995133e-07,0.004803653882509121,0.39220220534116357,0.5119682047430718
47,LC_V4_H0p5_T5,4.0,0.5,5.0,0.02376,1.4961495359178856e-07,0.004674273970873028,0.38163877010797903,0.18765582318739418
48,LC_V8_H1p0_T5,8.0,1.0,5.0,0.01896,1.7262129923315764e-07,0.004303535991016375,0.3513692592606326,0.21651172713429603
49,LC_V2_H0p5_T6,2.0,0.5,6.0,0.02732,1.0498994496630437e-07,0.0037715609323403835,0.307935282479142,0.1316845280238912
50,LC_V4_H0p5_T6,4.0,0.5,6.0,0.01869,1.4868819743619604e-07,0.003654083971017082,0.2983436831602271,0.18649343142710129
51,LC_V10_H2p0_T8,10.0,2.0,8.0,0.004,6.462381293027146e-07,0.0033989540648797483,0.2775131832360152,0.8105496490695591
52,LC_V6_H1p5_T7,6.0,1.5,7.0,0.01621,1.5392662704987361e-07,0.0032808735561263534,0.2678723062965847,0.19306377615377865
53,LC_V6_H0p5_T6,6.0,0.5,6.0,0.01726,1.4407806920188955e-07,0.0032698768501205717,0.26697446218615445,0.18071113902891872
54,LC_V10_H0p5_T6,10.0,0.5,6.0,0.00283,6.299215982323043e-07,0.002344043463928834,0.19138327582590628,0.7900845017291759
55,LC_V2_H0p5_T5,2.0,0.5,5.0,0.01556,1.0529080793311251e-07,0.0021542335049451176,0.17588593019486665,0.1320618879491365
56,LC_V2_H1p0_T7,2.0,1.0,7.0,0.01531,1.0574548207136769e-07,0.0021287748832906866,0.17380731924536197,0.13263216683936757
57,LC_V6_H1p0_T5,6.0,1.0,5.0,0.01019,1.5312621147876485e-07,0.00205171222927393,0.16751541237737008,0.19205984814202232
58,LC_V8_H0p5_T6,8.0,0.5,6.0,0.00764,1.6437598043336156e-07,0.0016512941417726858,0.13482262042824475,0.20616996616941377
59,LC_V4_H1p5_T7,4.0,1.5,7.0,0.00598,1.5662278815578305e-07,0.0012315409587931544,0.10055118287463939,0.19644545906467079
60,LC_V8_H2p0_T7,8.0,2.0,7.0,0.00488,1.905790897614771e-07,0.0012228911322215473,0.09984495358748041,0.23903543805568572
61,LC_V6_H1p5_T8,6.0,1.5,8.0,0.00456,1.4959946314884563e-07,0.0008969900034705422,0.07323622103813317,0.18763639416808692
62,LC_V4_H1p5_T8,4.0,1.5,8.0,0.00414,1.5304031739436884e-07,0.0008331034332352821,0.06802009715602195,0.19195211475891247
63,LC_V8_H2p0_T8,8.0,2.0,8.0,0.00306,1.8190391839166574e-07,0.0007319075146171958,0.05975779029039755,0.22815453086284337
64,LC_V8_H1p5_T8,8.0,1.5,8.0,0.00314,1.7146436163861334e-07,0.0007079396558324438,0.057800895122135515,0.2150606283539361
65,LC_V4_H1p0_T5,4.0,1.0,5.0,0.00341,1.5656921222722837e-07,0.0007020264429073566,0.057318101147674626,0.1963782610023475
66,LC_V4_H1p0_T8,4.0,1.0,8.0,0.0033,1.4934958637431427e-07,0.0006480532447078334,0.05291137079596333,0.18732298410649617
67,LC_V6_H1p0_T8,6.0,1.0,8.0,0.0028,1.444865587435394e-07,0.0005319590530572638,0.043432669976480084,0.1812234904975486
68,LC_V2_H1p5_T8,2.0,1.5,8.0,0.00319,1.0761284403434786e-07,0.00045138541030023715,0.036854102670300544,0.13497432140306156
69,LC_V2_H1p0_T8,2.0,1.0,8.0,0.00312,1.0524709460894934e-07,0.0004317749426680795,0.03525297385435714,0.1320070601419343
